build,series,format,card_id,name,is_pitcher,pa,ip,instances
Bronze,bronze10to50,current,86477,Grover Cleveland Alexander,True,0,2076,107
Bronze,bronze10to50,current,85829,Joe Krakauskas,True,0,36.67,11
Bronze,bronze10to50,current,86357,Fritz Ostermueller,True,0,1806.67,94
Bronze,bronze10to50,current,84839,Satchel Paige,True,0,1717.67,134
Bronze,bronze10to50,current,86622,Larry Sherry,True,0,82,13
Bronze,bronze10to50,current,85326,Eddie Robinson,False,1016,0,34
Bronze,bronze10to50,current,84840,Jackie Robinson,False,4102,0,111
Bronze,bronze10to50,current,85674,Larry Gardner,False,1688,0,36
Bronze,bronze10to50,current,86458,Stan Hack,False,183,0,6
Bronze,bronze10to50,current,86610,Bob Allison,False,1596,0,39
Bronze,bronze10to50,current,83649,Dave Harris,False,2561,0,83
Bronze,bronze10to50,current,86379,Billy Southworth,False,5593,0,126
Bronze,bronze10to50,current,86616,Ed Bailey,False,242,0,7
Bronze,bronze10to50,current,86659,Nelson Chittum,True,0,4.67,2
Bronze,bronze10to50,current,86650,Ted Williams,False,44,0,1
Bronze,diamondslotsdaily,current,83148,Hal Woodeshick,True,0,25.33,6
Bronze,diamondslotsdaily,current,84720,Mike Marshall,True,0,375,126
Bronze,diamondslotsdaily,current,84715,Bob Miller,True,0,91.33,28
Bronze,diamondslotsdaily,current,84839,Satchel Paige,True,0,380,111
Bronze,diamondslotsdaily,current,85326,Eddie Robinson,False,32,0,2
Bronze,diamondslotsdaily,current,85449,Ken Berry,False,583,0,88
Bronze,diamondslotsdaily,current,83649,Dave Harris,False,1251,0,103
Bronze,diamondslotsdaily,current,85833,Tim McCarver,False,635,0,47
Bronze,diamondslotsdaily,current,84840,Jackie Robinson,False,333,0,28
Bronze,diamondslotsdaily,current,85829,Joe Krakauskas,True,0,16.67,4
Bronze,diamondslotsdaily,current,85150,Joe Morgan,False,61,0,8
Bronze,diamondslotsdaily,current,86106,Bill Henry,True,0,27,10
Bronze,diamondslotsdaily,current,86357,Fritz Ostermueller,True,0,149,36
Bronze,diamondslotsdaily,current,86379,Billy Southworth,False,27,0,7
Bronze,diamondslotsdaily,current,86477,Grover Cleveland Alexander,True,0,75.33,18
Bronze,diamondslotsdaily,current,83454,Ron Hansen,False,36,0,5
Bronze,diamondslotsdaily,current,86622,Larry Sherry,True,0,7.67,4
Bronze,diamondslotsdaily,current,86458,Stan Hack,False,14,0,2
Bronze,lgretro,historical,84715,Bob Miller,True,4,23,9
Bronze,lgretro,historical,83649,Dave Harris,False,318,0,27
Bronze,lgretro,historical,83148,Hal Woodeshick,True,25,70,9
Bronze,lgretro,historical,85833,Tim McCarver,False,258,0,11
Bronze,lgretro,historical,86357,Fritz Ostermueller,True,23,72.33,9
Bronze,lgretro,historical,86106,Bill Henry,True,0,1.33,2
Bronze,lgretro,historical,84839,Satchel Paige,True,0,7.33,2
Silver,openslotsdaily,current,86357,Fritz Ostermueller,True,0,72.67,13
Silver,openslotsdaily,current,86477,Grover Cleveland Alexander,True,0,6.33,2
Silver,openslotsdaily,current,84799,Jim Brewer,True,0,81.33,17
Silver,openslotsdaily,current,82823,John D'Acquisto,True,0,5.67,2
Silver,openslotsdaily,current,86666,Toothpick Sam Jones,True,0,2.33,1
Silver,openslotsdaily,current,83263,Mark Littell,True,0,8,4
Silver,openslotsdaily,current,85288,Rudy May,True,0,24.33,6
Silver,openslotsdaily,current,84285,Seth Morehead,True,0,14,3
Silver,openslotsdaily,current,86164,Dean Stone,True,0,5,1
Silver,openslotsdaily,current,86145,Lee Thomas,False,52,0,3
Silver,openslotsdaily,current,86260,Wade Boggs,False,174,0,5
Silver,openslotsdaily,current,85449,Ken Berry,False,226,0,18
Silver,openslotsdaily,current,83148,Hal Woodeshick,True,0,2.33,1
Silver,openslotsdaily,current,86458,Stan Hack,False,5,0,1
Silver,openslotsdaily,current,85680,Vic Power,False,15,0,2
Silver,openslotsdaily,current,86612,Luis Aparicio,False,23,0,1
Silver,openslotsdaily,current,86379,Billy Southworth,False,42,0,1
Silver,silverslotsdaily,current,85449,Ken Berry,False,776,0,69
Silver,silverslotsdaily,current,86260,Wade Boggs,False,3523,0,110
Silver,silverslotsdaily,current,84799,Jim Brewer,True,19,503,120
Silver,silverslotsdaily,current,84285,Seth Morehead,True,0,56,18
Silver,silverslotsdaily,current,85680,Vic Power,False,805,0,31
Silver,silverslotsdaily,current,86164,Dean Stone,True,24,835,76
Silver,silverslotsdaily,current,85288,Rudy May,True,0,135,30
Silver,silverslotsdaily,current,86145,Lee Thomas,False,1486,0,45
Silver,silverslotsdaily,current,86357,Fritz Ostermueller,True,37,505.67,62
Silver,silverslotsdaily,current,86379,Billy Southworth,False,706,0,35
Silver,silverslotsdaily,current,83454,Ron Hansen,False,8,0,2
Silver,silverslotsdaily,current,85286,Jakie May,True,12,359.33,29
Silver,silverslotsdaily,current,83263,Mark Littell,True,0,58.67,16
Silver,silverslotsdaily,current,85150,Joe Morgan,False,2,0,1
Silver,silverslotsdaily,current,83148,Hal Woodeshick,True,2,52,7
Silver,silverslotsdaily,current,85946,Ron Hunt,False,65,0,4
Silver,silverslotsdaily,current,86477,Grover Cleveland Alexander,True,24,145.67,12
Silver,silverslotsdaily,current,86666,Toothpick Sam Jones,True,30,212,17
Silver,silverslotsdaily,current,86612,Luis Aparicio,False,789,0,18
Silver,silverslotsdaily,current,86614,Jackie Jensen,False,727,0,17
Silver,silverslotsdaily,current,86616,Ed Bailey,False,124,0,5
Silver,silverslotsdaily,current,86650,Ted Williams,False,6,0,1
Silver,silverslotsdaily,current,82823,John D'Acquisto,True,1,4.33,2
Silver,silverslamboree,historical,86379,Billy Southworth,False,178,0,5
Silver,silverslamboree,historical,86357,Fritz Ostermueller,True,0,380,24
Silver,silverslamboree,historical,86666,Toothpick Sam Jones,True,0,246,22
Silver,silverslamboree,historical,86477,Grover Cleveland Alexander,True,0,128.33,10
Silver,silverslamboree,historical,86612,Luis Aparicio,False,351,0,5
Silver,silverslamboree,historical,85449,Ken Berry,False,43,0,3
Silver,silverslamboree,historical,86614,Jackie Jensen,False,588,0,14
Silver,silverslamboree,historical,86260,Wade Boggs,False,12405,0,262
Silver,silverslamboree,historical,86164,Dean Stone,True,0,2617,178
Silver,silverslamboree,historical,84799,Jim Brewer,True,0,3472.67,564
Silver,silverslamboree,historical,82823,John D'Acquisto,True,0,664.67,128
Silver,silverslamboree,historical,83263,Mark Littell,True,0,1032,216
Silver,silverslamboree,historical,85286,Jakie May,True,0,2008.67,149
Silver,silverslamboree,historical,85288,Rudy May,True,0,1168,172
Silver,silverslamboree,historical,83236,Dave Tomlin,True,0,74.67,18
Silver,silverslamboree,historical,84285,Seth Morehead,True,0,498,108
Silver,silverslamboree,historical,85680,Vic Power,False,3155,0,110
Silver,silverslamboree,historical,86145,Lee Thomas,False,5183,0,120
Silver,silverslamboree,historical,85946,Ron Hunt,False,447,0,22
Silver,silverslamboree,historical,83148,Hal Woodeshick,True,0,45.67,6
Silver,latesilver,current,84799,Jim Brewer,True,317,3092,893
Silver,latesilver,current,84285,Seth Morehead,True,45,397.67,130
Silver,latesilver,current,85286,Jakie May,True,313,769.33,61
Silver,latesilver,current,83263,Mark Littell,True,52,445.33,173
Silver,latesilver,current,86164,Dean Stone,True,1229,3157,191
Silver,latesilver,current,86260,Wade Boggs,False,32429,0,718
Silver,latesilver,current,85288,Rudy May,True,50,217,58
Silver,latesilver,current,85680,Vic Power,False,2795,0,143
Silver,latesilver,current,86145,Lee Thomas,False,5268,0,140
Silver,latesilver,current,82823,John D'Acquisto,True,55,360,109
Silver,latesilver,current,85946,Ron Hunt,False,732,0,52
Silver,latesilver,current,83236,Dave Tomlin,True,0,18.33,12
Silver,latesilver,current,86477,Grover Cleveland Alexander,True,1445,3452.33,141
Silver,latesilver,current,86357,Fritz Ostermueller,True,199,480.33,27
Silver,latesilver,current,85449,Ken Berry,False,72,0,5
Silver,latesilver,current,86379,Billy Southworth,False,366,0,10
Silver,latesilver,current,86666,Toothpick Sam Jones,True,296,769.67,48
Silver,latesilver,current,83148,Hal Woodeshick,True,6,17,2
Silver,latesilver,current,86612,Luis Aparicio,False,1320,0,25
Silver,latesilver,current,86614,Jackie Jensen,False,1530,0,35
Gold,diamondslotsdaily,current,85114,Jim Kaat,True,0,360.67,33
Gold,diamondslotsdaily,current,85489,Luis Arroyo,True,0,155.67,49
Gold,diamondslotsdaily,current,85304,Sid Gordon,False,2733,0,100
Gold,diamondslotsdaily,current,85519,Roger Maris,False,1392,0,55
Gold,diamondslotsdaily,current,85496,Albie Pearson,False,72,0,3
Gold,diamondslotsdaily,current,84267,Mark Fidrych,True,0,2067,141
Gold,diamondslotsdaily,current,83279,Dan Quisenberry,True,0,83,18
Gold,diamondslotsdaily,current,85870,Dave Righetti,True,0,171.67,36
Gold,diamondslotsdaily,current,84187,Dick Groat,False,514,0,25
Gold,diamondslotsdaily,current,83282,Tug McGraw,True,0,19.33,8
Gold,diamondslotsdaily,current,86280,Randy Jones,True,0,452.33,43
Gold,diamondslotsdaily,current,85847,Gary Lucas,True,0,35.33,9
Gold,diamondslotsdaily,current,86260,Wade Boggs,False,569,0,19
Gold,diamondslotsdaily,current,86145,Lee Thomas,False,177,0,6
Gold,diamondslotsdaily,current,86477,Grover Cleveland Alexander,True,0,75.33,18
Gold,diamondslotsdaily,current,86473,Dizzy Dean,True,0,179.33,20
Gold,diamondslotsdaily,current,84011,Jimmie Foxx,False,476,0,16
Gold,diamondslotsdaily,current,86635,Mickey Mantle,False,232,0,5
Gold,diamondslotsdaily,current,86668,Hank Thompson,False,24,0,2
Gold,diamondslotsdaily,current,86612,Luis Aparicio,False,15,0,2
Gold,diamondsforever,current,85489,Luis Arroyo,True,0,75.33,12
Gold,diamondsforever,current,85496,Albie Pearson,False,166,0,8
Gold,diamondsforever,current,85870,Dave Righetti,True,0,4.67,1
Gold,diamondsforever,current,85114,Jim Kaat,True,0,53.67,8
Gold,diamondsforever,current,85304,Sid Gordon,False,332,0,16
Gold,diamondsforever,current,85519,Roger Maris,False,4,2.33,2
Gold,diamondsforever,current,86473,Dizzy Dean,True,0,8,1
Gold,diamondsforever,current,84267,Mark Fidrych,True,0,44.67,2
Gold,diamondsforever,current,86280,Randy Jones,True,0,5.67,1
Gold,diamondheart,current,84267,Mark Fidrych,True,409,1092.67,54
Gold,diamondheart,current,85114,Jim Kaat,True,693,2011.33,226
Gold,diamondheart,current,85847,Gary Lucas,True,11,97.33,25
Gold,diamondheart,current,83282,Tug McGraw,True,36,465.67,138
Gold,diamondheart,current,85489,Luis Arroyo,True,63,527,143
Gold,diamondheart,current,83279,Dan Quisenberry,True,8,53,15
Gold,diamondheart,current,85870,Dave Righetti,True,24,181.67,46
Gold,diamondheart,current,85304,Sid Gordon,False,3742,0,194
Gold,diamondheart,current,85519,Roger Maris,False,1643,0,58
Gold,diamondheart,current,85496,Albie Pearson,False,3215,0,127
Gold,diamondheart,current,84187,Dick Groat,False,246,0,6
Gold,diamondheart,current,86473,Dizzy Dean,True,92,230.67,8
Gold,diamondheart,current,86280,Randy Jones,True,33,84,4
Gold,diamondheart,current,84011,Jimmie Foxx,False,20,0,3
Gold,diamondheart,current,86429,Rudy York,False,56,0,1
Gold,diamondheart,current,86260,Wade Boggs,False,61,0,3
Gold,diamondheart,current,86668,Hank Thompson,False,95,0,2
Gold,diamondheart,current,86635,Mickey Mantle,False,193,0,3
Gold,diamondheart,current,85946,Ron Hunt,False,4,0,1
Gold,goldenchildhood,historical,85847,Gary Lucas,True,0,240.67,67
Gold,goldenchildhood,historical,83282,Tug McGraw,True,0,389,107
Gold,goldenchildhood,historical,83279,Dan Quisenberry,True,0,117.33,30
Gold,goldenchildhood,historical,85870,Dave Righetti,True,0,332.67,57
Gold,goldenchildhood,historical,86260,Wade Boggs,False,263,0,10
Gold,lgretro,historical,84267,Mark Fidrych,True,2257,5707.33,331
Gold,lgretro,historical,85489,Luis Arroyo,True,84,1734,352
Gold,lgretro,historical,83279,Dan Quisenberry,True,35,431,131
Gold,lgretro,historical,85519,Roger Maris,False,2753,0,98
Gold,lgretro,historical,85946,Ron Hunt,False,180,0,12
Gold,lgretro,historical,86280,Randy Jones,True,586,1565.33,127
Gold,lgretro,historical,86145,Lee Thomas,False,467,0,13
Gold,lgretro,historical,86260,Wade Boggs,False,674,0,23
Gold,lgretro,historical,84011,Jimmie Foxx,False,1208,0,50
Gold,lgretro,historical,86704,Nick Esasky,False,48,0,1
Gold,lgretro,historical,86614,Jackie Jensen,False,43,0,1
Diamond,diamondsforever,current,85109,Steve Carlton,True,0,4458.33,385
Diamond,diamondsforever,current,84079,Pete Donohue,True,0,3272.67,280
Diamond,diamondsforever,current,84086,Bob Friend,True,0,16953.33,1385
Diamond,diamondsforever,current,83323,Joe Grzenda,True,0,3467.67,1006
Diamond,diamondsforever,current,85305,Rocky Colavito,False,6901,0,236
Diamond,diamondsforever,current,84075,Joe Sambito,True,0,282.67,60
Diamond,diamondsforever,current,85496,Albie Pearson,False,166,0,8
Diamond,diamondsforever,current,86070,Sam Jones,True,0,171.33,13
