POS,Name,B,T,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,STU vL,CON vL,PBABIP vL,HRA vL,STU vR,CON vR,PBABIP vR,HRA vR,STM,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,SPE,STE,SR,RUN,ACT,CVAL,REL,L10,BUY,VAR
LF,Cody Bellinger,Left,Left,130,110,90,110,130,115,99,82,140,141,1,1,1,1,1,1,1,1,1,-,-,-,29,40,36,39,114,93,89,139,64,93,72,96,No,100,07/16/2026,43 046,32 000,N
3B,Adrian Beltre,Right,Right,139,144,99,89,110,116,138,103,74,129,1,1,1,1,1,1,1,1,1,-,-,-,114,69,108,48,4,7,7,108,18,12,11,32,No,100,05/14/2026,65 133,20 001,N
C,Yogi Berra,Left,Right,92,47,138,76,168,54,64,124,56,157,1,1,2,5,1,1,1,5,1,104,78,112,4,4,7,8,9,10,1,108,55,61,35,62,No,100,03/13/2026,28 555,0,N
SP,Kevin Brown,Right,Right,8,19,5,43,24,7,31,3,34,15,83,117,127,131,90,120,121,121,94,-,-,-,35,20,25,22,10,3,3,64,6,6,5,7,No,100,05/14/2026,47 701,44 000,N
C,Roy Campanella,Right,Right,128,125,140,82,113,108,106,133,79,98,1,1,1,6,1,1,1,6,1,94,92,114,10,4,8,4,8,8,5,118,12,9,13,29,No,100,03/13/2026,51 193,0,Y
SP,Bubba Chandler,Switch,Right,57,55,69,59,52,59,59,72,60,53,125,81,90,115,121,88,100,115,82,1,1,1,44,46,71,56,65,51,64,96,61,65,61,58,No,100,03/27/2026,36 988,30 000,N
SP,Jack Coombs,Switch,Right,64,53,6,51,56,44,52,4,66,74,116,85,121,139,117,84,128,135,106,-,-,-,24,40,31,29,10,1,6,73,48,78,83,73,No,100,07/02/2026,53 370,24 222,N
SP,Whitey Ford,Left,Left,10,32,2,50,16,8,30,5,62,31,130,113,131,119,107,95,103,118,97,-,-,-,27,27,27,27,1,8,3,62,13,11,7,18,No,100,04/23/2026,89 120,51 125,N
SS,Nomar Garciaparra,Right,Right,147,91,89,97,156,133,128,87,68,134,1,1,1,5,1,1,1,5,1,-,-,-,111,83,97,69,7,4,6,105,51,70,18,56,No,100,06/04/2026,59 076,40 000,N
CL,Tom Henke,Right,Right,1,3,1,3,1,1,3,1,3,1,137,122,142,111,160,128,116,83,25,-,-,-,35,20,26,23,3,9,2,64,5,6,4,5,No,100,07/01/2026,91 869,55 000,N
SP,Josh Johnson,Left,Right,4,3,1,7,1,1,7,1,6,4,129,88,104,130,133,140,93,145,72,-,-,-,27,38,29,23,2,10,4,74,5,6,5,5,No,100,07/16/2026,45 502,26 000,N
3B,King Kelly,Right,Right,142,128,80,88,135,135,132,77,82,131,1,1,1,3,1,1,1,3,1,83,82,89,89,69,97,74,85,64,112,94,102,96,87,109,No,100,04/30/2026,32 363,30 000,N
CL,Craig Kimbrel,Right,Right,1,3,1,3,2,1,3,1,3,1,181,90,140,140,187,122,122,118,20,-,-,-,25,20,23,23,5,5,9,52,5,6,4,5,No,100,06/04/2026,296 919,65 777,N
SP,Cliff Lee,Left,Left,6,18,27,7,5,12,17,14,15,11,109,150,115,119,132,121,89,118,84,-,-,-,24,14,20,23,1,3,5,45,55,67,54,50,No,100,06/04/2026,46 905,28 200,N
SP,Dolf Luque,Right,Right,19,37,32,53,25,17,48,37,49,30,116,68,132,140,121,90,119,128,100,-,-,-,29,23,24,22,4,9,3,59,36,44,59,20,No,100,06/04/2026,45 950,27 000,N
SP,Juan Marichal,Right,Right,11,31,1,25,5,7,47,1,29,6,91,114,112,112,70,135,69,126,97,-,-,-,35,21,26,21,1,3,4,65,9,6,3,15,No,100,03/13/2026,53 396,37 500,N
2B,Ketel Marte,Switch,Right,118,82,140,52,130,138,100,99,90,122,1,1,1,1,1,1,1,1,1,-,-,-,98,88,79,87,89,102,50,113,87,89,39,93,No,100,06/04/2026,61 388,25 001,N
SP,Jon Matlack,Left,Left,61,31,1,81,1,38,16,1,93,2,110,99,151,137,90,78,76,119,77,-,-,-,31,24,26,23,3,5,2,64,16,6,5,28,No,100,03/13/2026,47 333,37 500,N
SP,Sam McDowell,Left,Left,25,14,2,31,19,23,20,5,47,21,152,90,124,135,130,68,119,115,94,-,-,-,29,13,22,24,10,8,10,50,5,6,5,5,No,100,05/07/2026,51 622,50 000,N
CF,Mickey Moniak,Left,Right,104,98,87,98,120,138,140,110,106,143,1,1,1,5,1,1,1,5,1,-,-,-,8,3,6,6,109,80,92,119,106,106,100,112,No,100,08/13/2026,84 099,30 505,N
1B,Eddie Murray,Switch,Right,119,71,101,161,122,136,76,124,150,104,1,1,1,1,1,1,1,1,1,-,-,-,91,69,71,96,1,1,7,98,50,73,45,64,No,100,06/11/2026,102 903,77 778,N
CL,Jesse Orosco,Right,Left,7,3,1,4,2,7,3,1,3,2,126,89,140,146,114,83,128,120,61,-,-,-,35,72,43,23,5,10,3,98,8,6,3,13,No,100,04/20/2026,66 943,47 054,N
SP,Satchel Paige,Right,Right,57,77,1,52,43,57,69,1,33,47,119,99,112,117,130,93,117,118,96,1,1,1,29,32,29,25,5,10,2,71,43,11,4,29,No,100,04/15/2026,85 951,44 002,N
SP,Camilo Pascual,Right,Right,29,59,33,50,95,28,74,34,51,99,97,84,119,115,102,117,112,123,82,-,-,-,34,40,31,19,10,7,2,79,29,6,5,28,No,100,03/26/2026,53 212,40 002,N
2B,Jackie Robinson,Right,Right,122,120,82,98,140,130,128,90,97,140,1,1,1,3,1,1,1,3,1,-,-,-,111,102,89,114,87,103,81,139,107,106,104,117,No,100,04/16/2026,70 931,50 000,N
LF,Jimmy Sheckard,Left,Right,125,120,80,88,77,120,126,120,89,104,1,1,1,1,1,1,1,1,1,-,-,-,52,50,66,39,89,73,67,102,93,98,85,76,No,100,03/26/2026,85 577,88 000,N
RF,Enos Slaughter,Left,Right,93,86,77,79,89,125,122,81,97,139,1,1,1,7,1,1,2,7,1,-,-,-,3,10,4,9,78,90,107,107,68,59,44,60,No,100,03/13/2026,59 505,35 005,N
CL,Dave Smith,Right,Right,11,11,5,7,11,11,11,5,7,11,100,78,93,135,108,106,97,111,24,-,-,-,27,20,23,23,7,7,4,55,16,6,3,28,No,100,03/13/2026,57 116,46 788,N
CF,George Springer,Right,Right,100,62,128,141,102,104,83,150,124,106,1,1,1,2,1,1,1,2,1,-,-,-,7,2,6,1,112,119,76,125,89,54,44,81,No,100,07/16/2026,46 689,27 000,N
RF,Giancarlo Stanton,Right,Right,83,96,158,138,117,79,82,138,95,69,1,1,1,7,1,1,1,7,1,-,-,-,5,2,10,10,86,91,97,109,26,26,17,16,No,100,03/13/2026,61 000,36 523,N
3B,Harry Steinfeldt,Right,Right,123,88,92,89,130,130,112,78,70,97,1,1,1,7,1,1,1,7,1,-,-,-,98,90,96,64,9,3,5,105,67,89,79,65,No,100,03/13/2026,88 290,45 000,N
SP,Charlie Sweeney,Right,Right,96,107,55,68,119,88,102,35,60,111,93,123,133,99,92,120,107,95,95,-,-,-,65,32,58,42,77,47,62,99,53,85,57,62,No,100,03/13/2026,28 195,0,N
SP,Johnny Vander Meer,Switch,Left,11,71,3,55,13,23,49,7,51,21,132,50,60,115,135,62,133,119,82,-,-,-,32,13,24,28,3,1,2,55,20,11,4,29,No,100,03/13/2026,47 245,41 356,N
LF,Garret Anderson,Left,Left,112,125,87,44,105,108,134,111,61,115,1,1,1,1,1,1,1,1,1,-,-,-,6,7,5,9,103,120,111,137,44,56,33,36,No,99,04/22/2026,6 483,0,N
1B,Jeff Bagwell,Right,Right,124,69,102,138,99,82,73,117,115,78,1,1,1,7,1,1,1,7,1,-,-,-,49,53,55,61,1,4,1,74,48,55,52,48,No,99,03/13/2026,6 735,4 001,N
RF,Chase DeLauter,Left,Left,79,95,115,102,101,76,112,128,110,112,57,40,63,61,58,38,60,56,5,2,2,1,27,34,57,7,61,67,83,74,39,58,18,50,No,99,03/27/2026,5 825,0,N
SP,R.A. Dickey,Right,Right,62,15,1,2,77,22,12,1,17,91,124,72,108,92,116,113,125,86,93,-,-,-,35,38,35,34,9,6,10,81,5,6,5,5,No,99,06/10/2026,52 943,18 529,N
RP,Tony Fossas,Left,Left,1,1,1,1,1,1,1,1,1,1,137,128,88,129,91,110,72,115,13,-,-,-,35,20,26,23,6,8,4,65,5,6,3,5,No,99,03/13/2026,4 879,0,N
RP,Tony Fossas,Left,Left,1,1,1,1,1,1,1,1,1,1,148,138,96,139,99,119,79,124,13,-,-,-,35,20,26,23,6,8,4,70,5,6,3,5,No,99,03/13/2026,31 319,0,Y
SP,Bob Friend,Right,Right,16,48,8,34,20,8,49,16,42,31,64,129,107,131,102,150,53,111,73,-,-,-,31,36,29,21,10,8,9,75,16,6,4,28,No,99,03/13/2026,4 672,0,N
1B,Paul Goldschmidt,Right,Right,165,58,135,146,74,130,93,120,158,86,1,1,1,1,1,1,1,1,1,-,-,-,84,74,66,62,9,2,10,101,65,98,69,78,No,99,07/16/2026,14 105,11 000,N
SP,Mel Harder,Right,Right,17,17,36,32,19,28,32,49,30,19,38,132,50,119,91,112,94,138,93,-,-,-,30,23,24,20,4,5,9,61,16,6,4,28,No,99,03/26/2026,4 573,0,N
SS,Travis Jackson,Right,Right,82,77,109,104,74,75,72,99,92,68,1,1,1,1,1,1,1,1,1,-,-,-,109,92,106,105,7,9,6,118,70,57,41,74,No,99,03/13/2026,6 243,0,N
CF,Andruw Jones,Right,Right,131,61,95,129,94,100,102,141,58,103,1,1,1,1,1,1,1,1,1,-,-,-,8,8,1,8,125,124,121,152,94,95,62,112,No,99,07/23/2026,18 391,12 321,N
