POS,#,Name,Inf,Age,NAT,HT,WT,B,T,OVR,CTM,CType,Title
SP,30,Dan Bankhead,,26,USA,6' 1',185 lbs,Right,Right,74,Memphis Red Sox,Negro League,Celebrating 42 - Negro League Star  SP Dan Bankhead  MRS  1946
SP,25,Jose DeLeon,,25,DOM,6' 3',210 lbs,Right,Right,68,Chicago White Sox,Snapshot,Limited Edition/68  SP Jose DeLeon  CWS  1986
SP,13,Toothpick Sam Jones,,33,USA,6' 4',190 lbs,Right,Right,79,San Francisco Giants,All-Star,50s Theme Week - Historical All-Star  SP Toothpick Sam Jones  SF  1959
SP,19,Jakie May,,31,USA,5' 8',180 lbs,Right,Left,72,Cincinnati Reds,Snapshot,May Names 1 - Snapshot  SP Jakie May  CIN  1927
SP,12,Johnny Niggeling,,40,USA,6' 0',170 lbs,Right,Right,78,Washington Senators,Veteran Presence,SwitchKnucklers - Veteran Presence  SP Johnny Niggeling  WS1  1944
SP,27,Fritz Ostermueller,,36,USA,5' 11',175 lbs,Left,Left,64,Pittsburgh Pirates,Veteran Presence,Trade Deadliners - Baseball Reference 6  SP Fritz Ostermueller  PIT  1944
RP,32,Mark Littell,,26,USA,6' 3',210 lbs,Left,Right,77,St. Louis Cardinals,Snapshot,Snapshot  RP Mark Littell  STL  1979
RP,44,Don McMahon,,37,USA,6' 2',220 lbs,Right,Right,75,Chicago White Sox,Veteran Presence,Clubhouse - Y&O 1 - Veteran Presence  RP Don McMahon  CWS  1967
RP,39,Joe Nuxhall,,26,USA,6' 3',220 lbs,Left,Left,71,Cincinnati Redlegs,All-Star,T4 Ep. 8 - Historical All-Star  SP Joe Nuxhall  CIN  1955
RP,33,Ken Sanders,,33,USA,5' 11',185 lbs,Right,Right,68,New York Mets,Snapshot,Snapshot  RP Ken Sanders  NYM  1975
RP,51,Larry Sherry,,23,USA,6' 2',205 lbs,Right,Right,66,Los Angeles Dodgers,Hardware Hero,50s Theme Week - Hardware Heroes  RP Larry Sherry  LAD  1959
CL,21,Marshall Bridges,,31,USA,6' 1',180 lbs,Switch,Left,65,New York Yankees,Snapshot,Snapshot  CL Marshall Bridges  NYY  1962
C,6,Ed Bailey,,28,USA,6' 2',205 lbs,Left,Right,69,Cincinnati Redlegs,Snapshot,T4 Ep. 8 - Snapshot  C Ed Bailey  CIN  1959
C,76,Biz Mackey,,26,USA,6' 1',235 lbs,Switch,Right,74,Philadelphia Hilldale Giants,Negro League,HOF 2 - Negro League Star  C Biz Mackey  PHG  1924
1B,7,Vic Power,,30,PUR,5' 11',195 lbs,Right,Right,76,Cleveland Guardians,Hardware Hero,June Gems - Super Utility  1B Vic Power  CLE  1958
1B,16,Lee Thomas,,26,USA,6' 2',200 lbs,Left,Right,77,Los Angeles Angels,All-Star,Obscure All-Stars - Baseball Reference 5  1B Lee Thomas  LAA  1962
2B,3,Frankie Frisch,,36,USA,5' 11',165 lbs,Switch,Right,72,St. Louis Cardinals,Veteran Presence,Veteran Presence  2B Frankie Frisch  STL  1934
3B,15,Dick Allen,,29,USA,5' 11',190 lbs,Right,Right,79,Los Angeles Dodgers,Snapshot,June Gems - Baseball Reference 3  3B Dick Allen  LAD  1971
3B,5,Wade Boggs,,31,USA,6' 2',195 lbs,Left,Right,74,Boston Red Sox,All-Star,All-Star Week - Hall of Fame  3B Wade Boggs  BOS  1989
SS,1,Ozzie Smith,,34,USA,5' 11',150 lbs,Switch,Right,79,St. Louis Cardinals,All-Star,T4 Ep. 2 - Hall of Fame  SS Ozzie Smith  STL  1989
LF,9,Chuck Essegian,,30,USA,5' 11',200 lbs,Right,Right,74,Cleveland,Unsung,Baseball Reference 2  LF Chuck Essegian  CLE  1962
LF,18,Jim Greengrass,,25,USA,6' 1',200 lbs,Right,Right,74,Cincinnati Reds,Rookie,Earth Day - Rookie Sensation  LF Jim Greengrass  CIN  1953
CF,4,Bob Allison,,24,USA,6' 4',220 lbs,Right,Right,67,Washington Senators,Rookie,50s Theme Week - Rookie Sensation  CF Bob Allison  WS1  1959
CF,22,Billy Southworth,,33,USA,5' 9',170 lbs,Left,Right,68,St. Louis Cardinals,Snapshot,T4 Ep. 6 - Baseball Reference 6  RF Billy Southworth  STL  1926
RF,23,Roberto Clemente,,27,PUR,5' 11',175 lbs,Right,Right,73,Pittsburgh Pirates,All-Star,Studs & Duds - Historical All-Star  RF Roberto Clemente  PIT  1962
RF,61,Ed Morgan,,25,USA,6' 0',180 lbs,Right,Right,66,Cleveland Guardians,Snapshot,July Jewels - Baseball Reference 4  RF Ed Morgan  CLE  1929
