POS,Name,First Name,Last Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,ST,CID,Tier,Title,L10,VAR,VLvl,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,CON,PBABIP,HRA,STU vL,CON vL,PBABIP vL,HRA vL,STU vR,CON vR,PBABIP vR,HRA vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,1B_1,2B_1,3B_1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,K,GIDP,RC,WPA,wRC,wRAA,WAR,PI/PA,SB,CS,wSB,UBR,G_1,GS_1,W,L,HLD_1,SD,MD,IP,BF,AB_1,1B_2,2B_2,3B_2,HR_1,R_1,ER,BB_1,IBB_1,K_1,HP_1,SH_1,SF_1,WP,BK,CI_1,DP,GF,IR,IRS,pLi,PI,GB,FB_1,SB_1,CS_1,WPA_1,WAR_1,rWAR,SIERA,G_2,GS_2,TC,A,PO,E,DP_1,TP,RNG,ZR,EFF,SBA,RTO,IP_1,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
SP,Hilton Smith,Hilton,Smith,New England Bees,6' 2',180 lbs,R,R,101,Kansas City Monarchs,KCM,1938,1921-1945,,85864,Perfect,Heart Attack - Negro League Star  SP Hilton Smith  KCM  1938,0,N,0,94,112,106,25,109,90,118,111,28,114,96,111,104,24,107,53,16,Normal,Pull,Normal,126,128,96,117,119,125,92,107,131,131,101,119,109,110,127,99,112,-,-,-,-,-,-,-,5,NEU,91-93,3/4,Normal,91,60,1,1,1,29,28,27,25,80,90,65,67,-,-,-,-,-,-,-,88,67,-,-,-,-,-,-,-,88,28,5,6,28,5,5,16,15,5,2,2,0,1,1,1,0,0,1,0,0,0,0,1,3.2,-0.09,3,1.6,0.2,3.31,0,0,0.0,-0.5,59,6,6,7,5,10,12,109.0,445,408,53,25,1,9,39,34,26,0,94,7,1,3,1,0,0,7,23,24,9,1.11,1729,104,118,6,1,-0.2,1.6,2.5,3.56,59,6,17,9,7,1,1,0,1.32,0.0,1.069,7,1,109.0,0,0,6,5,2,2,1,1,0,0,0,0,-1.6,0.0
SP,Hilton Smith,Hilton,Smith,Ye Ye,6' 2',180 lbs,R,R,101,Kansas City Monarchs,KCM,1938,1921-1945,,85864,Perfect,Heart Attack - Negro League Star  SP Hilton Smith  KCM  1938,0,N,0,94,112,106,25,109,90,118,111,28,114,96,111,104,24,107,53,16,Normal,Pull,Normal,126,128,96,117,119,125,92,107,131,131,101,119,109,110,127,99,112,-,-,-,-,-,-,-,5,NEU,91-93,3/4,Normal,91,60,1,1,1,29,28,27,25,80,90,65,67,-,-,-,-,-,-,-,88,67,-,-,-,-,-,-,-,88,28,5,6,28,32,32,107,105,19,8,9,0,2,15,8,1,0,0,0,1,0,24,1,6.2,-0.82,3,-9.0,-0.6,4.00,0,0,0.0,0.4,32,32,6,12,0,0,0,220.1,937,855,149,45,0,29,115,108,65,0,194,7,0,10,10,1,0,15,0,0,0,1.00,3728,214,225,17,6,-2.0,3.2,3.2,3.75,32,32,44,14,29,1,1,0,1.76,-0.4,1.069,23,6,220.1,0,0,14,9,6,5,0,0,0,0,0,0,-1.4,0.0
SP,Mickey Welch,Mickey,Welch,Brooklyn Cyclones,5' 8',160 lbs,R,R,100,New York Gothams,SFG,1884,2026,,85914,Perfect,Born on the 4th of July  SP Mickey Welch  NY1  1884,0,Y,5,89,132,89,90,72,96,134,96,97,73,87,131,87,89,72,77,63,Line Drive,Normal,Normal,102,94,143,153,103,96,145,156,102,94,141,151,91,128,113,-,-,-,-,-,-,-,-,-,3,NEU,90-92,3/4,Normal,97,59,-,-,-,25,16,20,21,68,52,74,51,-,-,-,-,-,83,59,80,51,-,-,-,-,-,83,59,80,65,84,92,78,5,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-0.05,0,-0.5,0.0,4.00,0,0,0.0,0.0,33,33,17,7,0,0,0,218.0,910,832,148,39,7,17,91,87,67,0,158,6,2,3,4,2,0,28,0,0,0,1.06,3523,237,225,8,5,2.4,3.7,4.9,4.26,37,33,44,20,23,1,1,0,1.72,0.7,.962,13,5,225.1,0,0,17,14,7,5,1,1,0,0,0,0,-2.0,0.0
RP,Shohei Ohtani,Shohei,Ohtani,-,6' 4',210 lbs,L,R,100,Los Angeles Dodgers,LAD,2026,2026,,81776,Perfect,MLB 2026 Live  DH Shohei Ohtani  LAD,0,N,0,115,90,118,112,66,115,87,110,106,65,115,91,121,114,67,75,63,Groundball,Ex. Pull,Pull,119,78,116,111,118,78,114,110,120,79,118,112,114,-,121,116,-,119,117,-,-,-,-,-,5,NEU,97-99,3/4,Normal,82,50,5,5,6,25,23,92,15,50,46,100,72,-,-,-,-,-,-,-,-,72,-,50,-,35,-,62,33,68,67,70,84,68,2,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,-0.08,0,-0.5,-0.1,5.00,0,0,0.0,0.0,22,0,0,1,2,3,5,41.2,187,167,37,11,1,5,28,27,18,0,28,2,0,0,0,0,0,9,9,18,8,0.58,741,42,41,2,0,-0.3,-0.2,-0.4,4.87,22,0,8,4,4,0,1,0,1.73,-0.3,1.069,2,0,41.2,0,0,4,3,2,1,0,0,0,0,0,0,-0.1,0.0
C,Johnny Bassler,Johnny,Bassler,Chico Heat BFF,5' 9',170 lbs,L,R,93,Detroit Tigers,DET,1924,1921-1945,PTCS,86476,Diamond,PTCS 5 - Unsung Heroes  C Johnny Bassler  DET  Peak,0,N,0,113,95,25,149,217,58,54,1,140,171,137,110,32,152,233,69,51,Line Drive,Normal,Normal,1,1,1,5,1,1,1,5,1,1,1,5,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,OTT,Normal,1,12,109,106,117,8,7,7,7,1,1,4,-,125,-,-,-,-,-,-,-,13,125,-,-,-,-,-,-,-,36,28,27,56,80,79,298,264,58,47,9,2,0,23,21,29,0,0,2,3,0,34,6,22.1,-1.70,19,-15.3,0.3,4.01,0,0,0.0,-1.9,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,80,79,603,28,574,1,6,0,7.68,0.5,1.024,37,11,705.2,6,271,22,22,3,2,0,0,0,0,0,0,4.0,0.0
C,Johnny Bassler,Johnny,Bassler,Sharpstown Bill Collectors,5' 9',170 lbs,L,R,93,Detroit Tigers,DET,1924,1921-1945,PTCS,86476,Diamond,PTCS 5 - Unsung Heroes  C Johnny Bassler  DET  Peak,0,N,0,113,95,25,149,217,58,54,1,140,171,137,110,32,152,233,69,51,Line Drive,Normal,Normal,1,1,1,5,1,1,1,5,1,1,1,5,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,OTT,Normal,1,12,109,106,117,8,7,7,7,1,1,4,-,125,-,-,-,-,-,-,-,13,125,-,-,-,-,-,-,-,36,28,27,56,82,38,171,155,31,24,7,0,0,9,13,11,0,2,1,2,0,26,3,10.3,-1.64,7,-12.6,-0.2,3.92,0,0,0.0,-0.3,1,0,0,0,0,0,0,0.2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10,7,0,2,0,0,0.0,0.0,0.0,4.42,82,38,418,27,387,4,6,0,8.51,-0.2,1.084,30,6,437.2,5,194,22,22,4,3,1,1,0,0,0,0,2.1,0.0
C,Johnny Bench,Johnny,Bench,Henry Murder Hornets,6' 1',210 lbs,R,R,100,Cincinnati Reds,CIN,1972,1961-1979,,82755,Perfect,Hardware Heroes  C Johnny Bench  CIN  1972,0,N,0,84,83,122,121,92,66,52,130,140,100,89,91,120,115,90,4,9,Flyball,Normal,Normal,1,1,1,3,1,1,1,3,1,1,2,3,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,3/4,Normal,1,15,102,98,111,46,43,61,31,54,54,67,-,115,73,-,37,-,61,-,58,93,115,73,-,37,-,61,-,58,40,43,58,46,61,53,196,175,43,28,8,1,6,23,23,20,0,0,0,1,0,44,1,24.3,-0.82,23,0.0,0.7,4.17,0,0,0.0,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,62,53,450,24,422,4,5,0,8.45,-0.8,1.024,36,8,475.0,1,270,27,23,3,1,0,0,0,0,0,0,-0.9,0.0
C,Johnny Bench,Johnny,Bench,Santa Barbara Golden Gophers -BFF,6' 1',210 lbs,R,R,100,Cincinnati Reds,CIN,1972,1961-1979,,82755,Perfect,Hardware Heroes  C Johnny Bench  CIN  1972,0,N,0,84,83,122,121,92,66,52,130,140,100,89,91,120,115,90,4,9,Flyball,Normal,Normal,1,1,1,3,1,1,1,3,1,1,2,3,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,3/4,Normal,1,15,102,98,111,46,43,61,31,54,54,67,-,115,73,-,37,-,61,-,58,93,115,73,-,37,-,61,-,58,40,43,58,46,89,79,301,277,51,31,12,0,8,35,22,23,0,1,0,0,0,85,8,20.8,-1.54,18,-16.8,0.4,4.10,0,0,0.0,-0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,89,79,663,37,625,1,5,0,8.10,1.2,1.081,49,12,735.2,3,323,40,39,5,5,0,0,0,0,0,0,1.8,0.0
C,Yogi Berra,Yogi,Berra,Blanton Bourbons,5' 8',195 lbs,L,R,100,New York Yankees,NYY,1951,1946-1960,,82729,Perfect,Hardware Heroes  C Yogi Berra  NYY  1951,0,N,0,66,61,127,62,160,92,47,138,76,168,54,64,124,56,157,5,7,Flyball,Pull,Pull,1,1,1,5,1,1,2,5,1,1,1,5,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,89-91,3/4,Normal,1,15,104,78,112,4,4,7,8,9,10,1,-,108,-,-,-,-,-,-,-,-,108,-,-,-,-,-,-,-,55,35,61,62,39,39,144,138,44,35,6,0,3,14,14,5,0,1,0,0,0,20,5,18.9,0.10,19,2.4,0.6,3.77,0,0,0.0,-1.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,39,39,302,10,288,4,2,0,7.82,-1.0,.853,20,2,343.0,2,168,12,11,4,3,0,0,0,0,0,0,-1.9,0.0
C,Roy Campanella,Roy,Campanella,Pawtuckett Poets,5' 9',190 lbs,R,R,100,Brooklyn Dodgers,LAD,1951,1946-1960,,82762,Perfect,Icon Pre-Orders - Hardware Heroes  C Roy Campanella  BRO  1951,0,Y,5,114,110,135,79,101,128,125,140,82,113,108,106,133,79,98,4,1,Flyball,Normal,Normal,1,1,1,6,1,1,1,6,1,1,1,6,16,17,17,-,-,-,-,-,-,-,-,-,3,NEU,90-92,3/4,Normal,1,6,94,92,114,10,4,8,4,8,8,5,-,118,-,-,-,-,-,-,-,13,118,-,-,-,-,-,-,-,12,13,9,29,91,91,369,342,95,65,18,1,11,48,43,19,0,4,0,4,0,79,8,46.5,-0.36,45,2.1,1.6,3.86,0,0,0.0,-3.8,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,91,91,774,40,728,6,11,0,8.42,0.1,1.024,50,15,820.2,5,392,38,36,10,5,1,0,0,0,0,0,-1.0,0.0
