POS,Name,First Name,Last Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,ST,CID,Tier,Title,L10,VAR,VLvl,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,CON,PBABIP,HRA,STU vL,CON vL,PBABIP vL,HRA vL,STU vR,CON vR,PBABIP vR,HRA vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,1B_1,2B_1,3B_1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,K,GIDP,RC,WPA,wRC,wRAA,WAR,PI/PA,SB,CS,wSB,UBR,G_1,GS_1,W,L,HLD_1,SD,MD,IP,BF,AB_1,1B_2,2B_2,3B_2,HR_1,R_1,ER,BB_1,IBB_1,K_1,HP_1,SH_1,SF_1,WP,BK,CI_1,DP,GF,IR,IRS,pLi,PI,GB,FB_1,SB_1,CS_1,WPA_1,WAR_1,rWAR,SIERA,G_2,GS_2,TC,A,PO,E,DP_1,TP,RNG,ZR,EFF,SBA,RTO,IP_1,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
SP,Hilton Smith,Hilton,Smith,New England Bees,6' 2',180 lbs,R,R,101,Kansas City Monarchs,KCM,1938,1921-1945,,85864,Perfect,Heart Attack - Negro League Star  SP Hilton Smith  KCM  1938,0,N,0,94,112,106,25,109,90,118,111,28,114,96,111,104,24,107,53,16,Normal,Pull,Normal,126,128,96,117,119,125,92,107,131,131,101,119,109,110,127,99,112,-,-,-,-,-,-,-,5,NEU,91-93,3/4,Normal,91,60,1,1,1,29,28,27,25,80,90,65,67,-,-,-,-,-,-,-,88,67,-,-,-,-,-,-,-,88,28,5,6,28,5,4,14,13,5,2,2,0,1,1,1,0,0,1,0,0,0,0,1,3.7,0.00,3,2.1,0.2,0.00,0,0,0.0,0.0,58,6,0,0,0,0,0,65.2,264,239,30,16,0,3,17,16,18,0,53,4,0,3,1,0,0,4,0,8,6,1.17,0,65,74,0,0,0.0,1.2,2.2,3.82,59,6,17,9,7,1,1,0,1.32,0.0,1.069,7,1,109.0,0,0,6,5,2,2,1,1,0,0,0,0,-1.6,0.0
SP,Hilton Smith,Hilton,Smith,Ye Ye,6' 2',180 lbs,R,R,101,Kansas City Monarchs,KCM,1938,1921-1945,,85864,Perfect,Heart Attack - Negro League Star  SP Hilton Smith  KCM  1938,0,N,0,94,112,106,25,109,90,118,111,28,114,96,111,104,24,107,53,16,Normal,Pull,Normal,126,128,96,117,119,125,92,107,131,131,101,119,109,110,127,99,112,-,-,-,-,-,-,-,5,NEU,91-93,3/4,Normal,91,60,1,1,1,29,28,27,25,80,90,65,67,-,-,-,-,-,-,-,88,67,-,-,-,-,-,-,-,88,28,5,6,28,22,15,52,52,12,5,5,0,2,8,5,0,0,0,0,0,0,13,0,5.3,0.00,4,-1.5,-0.6,0.00,0,0,0.0,0.0,32,32,0,0,0,0,0,113.2,472,430,76,26,0,8,55,52,33,0,90,2,0,7,4,1,0,9,0,0,0,1.02,0,115,117,0,0,0.0,2.6,2.1,3.98,32,32,44,14,29,1,1,0,1.76,-0.4,1.069,23,6,220.1,0,0,14,9,6,5,0,0,0,0,0,0,-1.4,0.0
SP,Mickey Welch,Mickey,Welch,Brooklyn Cyclones,5' 8',160 lbs,R,R,100,New York Gothams,SFG,1884,2026,,85914,Perfect,Born on the 4th of July  SP Mickey Welch  NY1  1884,0,Y,5,89,132,89,90,72,96,134,96,97,73,87,131,87,89,72,77,63,Line Drive,Normal,Normal,102,94,143,153,103,96,145,156,102,94,141,151,91,128,113,-,-,-,-,-,-,-,-,-,3,NEU,90-92,3/4,Normal,97,59,-,-,-,25,16,20,21,68,52,74,51,-,-,-,-,-,83,59,80,51,-,-,-,-,-,83,59,80,65,84,92,78,2,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.00,0,-0.5,0.0,0.00,0,0,0.0,0.0,33,33,0,0,0,0,0,118.2,480,443,75,18,5,10,39,36,32,0,76,2,2,1,4,1,0,15,0,0,0,1.05,0,134,126,0,0,0.0,1.9,3.8,4.40,37,33,44,20,23,1,1,0,1.72,0.7,.962,13,5,225.1,0,0,17,14,7,5,1,1,0,0,0,0,-2.0,0.0
C,Johnny Bassler,Johnny,Bassler,Chico Heat BFF,5' 9',170 lbs,L,R,93,Detroit Tigers,DET,1924,1921-1945,PTCS,86476,Diamond,PTCS 5 - Unsung Heroes  C Johnny Bassler  DET  Peak,0,N,0,113,95,25,149,217,58,54,1,140,171,137,110,32,152,233,69,51,Line Drive,Normal,Normal,1,1,1,5,1,1,1,5,1,1,1,5,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,OTT,Normal,1,12,109,106,117,8,7,7,7,1,1,4,-,125,-,-,-,-,-,-,-,13,125,-,-,-,-,-,-,-,36,28,27,56,36,3,48,43,8,8,0,0,0,4,1,5,0,0,0,0,0,5,3,1.9,0.00,1,-3.9,0.3,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,80,79,603,28,574,1,6,0,7.68,0.5,1.024,37,11,705.2,6,271,22,22,3,2,0,0,0,0,0,0,4.0,0.0
C,Johnny Bassler,Johnny,Bassler,Sharpstown Bill Collectors,5' 9',170 lbs,L,R,93,Detroit Tigers,DET,1924,1921-1945,PTCS,86476,Diamond,PTCS 5 - Unsung Heroes  C Johnny Bassler  DET  Peak,0,N,0,113,95,25,149,217,58,54,1,140,171,137,110,32,152,233,69,51,Line Drive,Normal,Normal,1,1,1,5,1,1,1,5,1,1,1,5,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,OTT,Normal,1,12,109,106,117,8,7,7,7,1,1,4,-,125,-,-,-,-,-,-,-,13,125,-,-,-,-,-,-,-,36,28,27,56,38,21,83,77,15,12,3,0,0,4,7,2,0,2,1,1,0,17,1,4.4,0.00,2,-7.6,-0.2,0.00,0,0,0.0,0.0,1,0,0,0,0,0,0,0.2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,0,2,0,0,0.0,0.0,0.0,4.42,82,38,418,27,387,4,6,0,8.51,-0.2,1.084,30,6,437.2,5,194,22,22,4,3,1,1,0,0,0,0,2.1,0.0
C,Johnny Bench,Johnny,Bench,Henry Murder Hornets,6' 1',210 lbs,R,R,100,Cincinnati Reds,CIN,1972,1961-1979,,82755,Perfect,Hardware Heroes  C Johnny Bench  CIN  1972,0,N,0,84,83,122,121,92,66,52,130,140,100,89,91,120,115,90,4,9,Flyball,Normal,Normal,1,1,1,3,1,1,1,3,1,1,2,3,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,3/4,Normal,1,15,102,98,111,46,43,61,31,54,54,67,-,115,73,-,37,-,61,-,58,93,115,73,-,37,-,61,-,58,40,43,58,46,37,21,82,71,15,10,3,1,1,8,9,10,0,0,0,1,0,18,0,8.0,0.00,7,-2.4,0.7,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,62,53,450,24,422,4,5,0,8.45,-0.8,1.024,36,8,475.0,1,270,27,23,3,1,0,0,0,0,0,0,-0.9,0.0
C,Johnny Bench,Johnny,Bench,Santa Barbara Golden Gophers -BFF,6' 1',210 lbs,R,R,100,Cincinnati Reds,CIN,1972,1961-1979,,82755,Perfect,Hardware Heroes  C Johnny Bench  CIN  1972,0,N,0,84,83,122,121,92,66,52,130,140,100,89,91,120,115,90,4,9,Flyball,Normal,Normal,1,1,1,3,1,1,1,3,1,1,2,3,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,3/4,Normal,1,15,102,98,111,46,43,61,31,54,54,67,-,115,73,-,37,-,61,-,58,93,115,73,-,37,-,61,-,58,40,43,58,46,53,13,87,78,15,10,2,0,3,13,5,8,0,1,0,0,0,25,3,6.8,0.00,6,-3.3,0.4,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,89,79,663,37,625,1,5,0,8.10,1.2,1.081,49,12,735.2,3,323,40,39,5,5,0,0,0,0,0,0,1.8,0.0
C,Yogi Berra,Yogi,Berra,Blanton Bourbons,5' 8',195 lbs,L,R,100,New York Yankees,NYY,1951,1946-1960,,82729,Perfect,Hardware Heroes  C Yogi Berra  NYY  1951,0,N,0,66,61,127,62,160,92,47,138,76,168,54,64,124,56,157,5,7,Flyball,Pull,Pull,1,1,1,5,1,1,2,5,1,1,1,5,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,89-91,3/4,Normal,1,15,104,78,112,4,4,7,8,9,10,1,-,108,-,-,-,-,-,-,-,-,108,-,-,-,-,-,-,-,55,35,61,62,36,33,110,106,34,28,5,0,1,9,8,3,0,1,0,0,0,16,4,13.3,0.00,13,0.7,0.6,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,39,39,302,10,288,4,2,0,7.82,-1.0,.853,20,2,343.0,2,168,12,11,4,3,0,0,0,0,0,0,-1.9,0.0
C,Roy Campanella,Roy,Campanella,Pawtuckett Poets,5' 9',190 lbs,R,R,100,Brooklyn Dodgers,LAD,1951,1946-1960,,82762,Perfect,Icon Pre-Orders - Hardware Heroes  C Roy Campanella  BRO  1951,0,Y,5,114,110,135,79,101,128,125,140,82,113,108,106,133,79,98,4,1,Flyball,Normal,Normal,1,1,1,6,1,1,1,6,1,1,1,6,16,17,17,-,-,-,-,-,-,-,-,-,3,NEU,90-92,3/4,Normal,1,6,94,92,114,10,4,8,4,8,8,5,-,118,-,-,-,-,-,-,-,13,118,-,-,-,-,-,-,-,12,13,9,29,88,88,269,252,71,47,14,1,9,40,31,11,0,3,0,3,0,55,5,35.4,0.00,34,2.6,1.6,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,91,91,774,40,728,6,11,0,8.42,0.1,1.024,50,15,820.2,5,392,38,36,10,5,1,0,0,0,0,0,-1.0,0.0
C,Roy Campanella,Roy,Campanella,New England Bees,5' 9',190 lbs,R,R,100,Brooklyn Dodgers,LAD,1951,1946-1960,,82762,Perfect,Icon Pre-Orders - Hardware Heroes  C Roy Campanella  BRO  1951,0,Y,5,114,110,135,79,101,128,125,140,82,113,108,106,133,79,98,4,1,Flyball,Normal,Normal,1,1,1,6,1,1,1,6,1,1,1,6,16,17,17,-,-,-,-,-,-,-,-,-,3,NEU,90-92,3/4,Normal,1,6,94,92,114,10,4,8,4,8,8,5,-,118,-,-,-,-,-,-,-,13,118,-,-,-,-,-,-,-,12,13,9,29,34,24,86,83,26,17,5,0,4,12,5,2,0,1,0,0,0,21,1,14.3,0.00,13,3.4,0.9,0.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,42,42,353,16,337,0,4,0,8.26,-0.1,1.024,15,3,384.2,3,153,13,12,1,1,0,0,0,0,0,0,0.3,0.0
