POS,Name,B,T,BABIP,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BBT,GBT,FBT,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,SPE,STE,SR,RUN,ACT,CID,CTier,L10,BUY,SELL,Lock,VAR,VLvl
1B,Jeff Bagwell,R,R,90,124,116,69,102,138,99,82,79,73,117,115,78,Flyball,Normal,Normal,1,5,1,1,7,1,5,1,1,7,1,23,-,-,-,49,53,55,61,1,4,1,-,-,74,-,-,-,-,-,-,48,55,52,48,Yes,82731,Diamond,5 705,0,5 555,No,N,0
3B,Home Run Baker,L,R,92,98,116,92,100,62,130,90,116,138,111,50,154,Normal,Pull,Pull,1,1,1,1,2,1,1,1,1,2,1,21,-,-,-,58,68,71,67,2,3,1,-,-,-,-,63,-,-,-,-,71,89,76,64,Yes,82735,Diamond,6 506,0,7 777,No,N,0
SS,Carlos Correa,R,R,88,101,110,77,97,114,109,84,87,75,104,90,90,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,21,-,-,-,107,72,99,83,8,3,7,-,-,-,-,-,102,-,-,-,66,1,1,46,Yes,84363,Diamond,5 041,5 000,9 750,No,N,0
1B,Prince Fielder,L,R,108,119,90,90,145,82,65,104,98,87,142,127,88,Flyball,Pull,Pull,1,1,1,1,2,1,1,1,1,2,1,8,-,-,-,31,46,32,18,4,10,6,-,-,52,-,-,-,-,-,-,34,52,17,31,No,85474,Diamond,51 775,50 000,0,No,N,0
RP,Tony Fossas,L,L,1,1,4,1,1,1,1,1,4,1,1,1,1,Normal,Spray,Spray,137,115,128,88,129,91,100,110,72,115,13,101,-,-,-,35,20,26,23,6,8,4,65,-,-,-,-,-,-,-,-,5,6,3,5,No,83324,Diamond,6 760,4 567,6 100,No,N,0
SP,Max Fried,L,L,35,35,36,36,14,26,40,35,36,36,14,26,40,Normal,Normal,Normal,82,113,90,103,118,75,104,87,98,108,74,87,-,-,-,29,52,61,16,33,43,51,87,-,69,-,-,-,33,-,27,19,17,16,24,Yes,82587,Diamond,16 854,13 500,19 999,Yes,N,0
SP,Bob Friend,R,R,10,16,18,48,8,34,20,8,21,49,16,42,31,Normal,Pull,Pull,64,123,129,107,131,102,91,150,53,111,73,71,-,-,-,31,36,29,21,10,8,9,75,-,-,-,-,-,-,-,-,16,6,4,28,Yes,84086,Diamond,9 060,0,5 999,No,N,0
SS,Travis Jackson,R,R,76,82,77,77,109,104,74,75,71,72,99,92,68,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,10,-,-,-,109,92,106,105,7,9,6,-,-,-,-,122,118,-,-,-,70,57,41,74,No,83840,Diamond,5 786,0,5 667,No,N,0
2B,Nap Lajoie,R,R,105,134,149,141,4,101,144,97,119,119,72,64,145,Groundball,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,15,-,-,-,108,79,83,110,10,6,2,-,-,98,127,103,-,-,-,-,69,78,70,72,Yes,83847,Diamond,8 236,7 000,8 500,No,N,0
RP,Jose Leclerc,R,R,1,1,4,1,1,1,1,1,4,1,1,1,1,Normal,Normal,Normal,102,133,22,141,130,130,129,71,150,119,12,49,-,-,-,27,39,29,23,3,7,3,75,-,-,-,-,-,-,-,-,13,6,4,22,Yes,83326,Diamond,6 674,0,5 975,No,N,0
CF,Alejandro Oms,L,L,90,78,81,89,92,94,86,94,97,98,95,101,96,Normal,Normal,Normal,13,21,34,23,20,13,25,34,35,20,52,41,-,-,-,53,22,47,20,88,71,69,84,-,-,-,-,-,102,84,95,73,77,65,63,Yes,84572,Diamond,9 736,5 600,9 599,Yes,N,0
LF,Wilson Redus,R,R,105,108,106,123,122,51,96,104,108,117,125,55,103,Normal,Spray,Normal,1,9,1,19,5,1,9,1,19,5,1,20,53,53,53,57,61,32,62,74,76,59,-,-,-,57,-,-,86,63,77,58,64,39,53,No,84570,Diamond,10 774,5 602,11 000,Yes,N,0
CF,Jimmy Ryan,R,L,96,118,108,126,111,87,91,91,98,110,98,82,102,Line Drive,Normal,Normal,37,81,51,55,94,37,65,57,35,81,11,54,-,-,-,8,3,10,1,78,69,82,-,-,-,-,-,-,93,72,91,89,95,86,90,Yes,83841,Diamond,6 503,4 800,6 250,No,N,0
1B,Norm Siebern,L,R,94,91,84,69,77,100,77,96,95,75,111,131,90,Normal,Spray,Spray,1,5,1,1,7,1,5,1,1,7,1,10,-,-,-,62,74,61,58,67,70,50,-,-,95,-,-,-,75,-,-,37,13,8,42,No,83991,Diamond,11 408,9 420,13 399,Yes,N,0
SP,David Wells,L,L,13,7,30,22,40,56,43,15,38,38,40,36,59,Normal,Spray,Spray,75,86,130,30,114,86,95,136,57,114,85,94,-,-,-,35,20,25,19,8,5,9,64,-,-,-,-,-,-,-,-,16,6,3,28,No,84082,Diamond,5 604,0,7 599,No,N,0
1B,Hank Aaron,R,R,88,59,83,69,140,92,118,97,105,97,133,104,105,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,19,-,-,-,40,23,34,31,44,90,44,-,-,53,-,-,-,-,-,43,34,11,9,48,Yes,85165,Diamond,14 186,9 111,15 799,Yes,N,0
SS,John Beckwith,R,R,119,123,113,120,92,80,96,118,117,114,85,93,107,Line Drive,Normal,Pull,42,53,55,61,50,41,51,55,57,49,24,60,59,61,69,93,65,91,78,74,60,72,138,60,82,98,90,84,85,63,80,56,42,39,61,No,84571,Diamond,13 831,6 222,12 998,Yes,N,0
LF,Yoenis Cespedes,R,R,126,130,100,122,117,47,75,124,100,126,111,44,78,Line Drive,Normal,Pull,1,2,1,1,3,1,2,1,1,3,1,22,-,-,-,10,6,10,7,94,82,103,-,-,-,-,-,-,118,101,119,102,8,7,106,No,84617,Diamond,10 598,6 700,13 499,Yes,N,0
LF,Yoenis Cespedes,R,R,136,140,108,132,126,52,82,134,108,136,120,49,85,Line Drive,Normal,Pull,1,3,1,1,5,1,3,1,1,5,1,22,-,-,-,10,6,10,7,94,82,103,-,-,-,-,-,-,126,108,128,102,8,7,106,No,84617,Diamond,181 951,0,0,No,Y,5
2B,Larry Doby,L,R,129,126,92,113,101,90,66,130,100,141,107,86,75,Line Drive,Normal,Normal,1,9,1,19,4,1,9,1,19,4,1,17,-,-,-,83,55,68,82,50,56,52,-,-,-,87,-,-,-,-,-,62,64,21,49,No,84878,Diamond,19 699,7 050,0,Yes,N,0
RP,Mark Eichhorn,R,R,11,11,10,10,6,13,6,11,10,10,6,13,6,Normal,Normal,Normal,77,80,61,81,80,143,128,122,106,139,24,65,-,-,-,35,13,20,13,2,4,5,55,-,-,-,-,-,-,-,-,16,6,4,28,Yes,84083,Diamond,6 135,4 567,5 495,No,N,0
SP,Red Faber,S,R,19,28,14,44,24,89,1,16,10,56,12,85,1,Normal,Normal,Normal,77,110,108,150,91,76,91,115,83,95,104,90,-,-,-,32,20,23,18,5,8,7,60,-,-,-,-,-,-,-,-,19,12,4,29,Yes,84090,Diamond,6 275,0,6 300,No,N,0
