Daily Diamond & Friends Slots (1920105) | Diamond,Cap | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Tuesday Sporer's Sandlot (1470025) | Gld,Cp,TW | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Tuesday Perfectly Iron Mevening (2320025) | PD Weekly | 256 / 256 - Bo7 | Yesterday | 33rd-64th Place
Daily Gold Cap (1300178) | Gold,Cap | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Daily Late Silver (1240179) | Silver | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Daily Goldfather II (1290178) | Gold | 128 / 128 - Bo7 | Yesterday | 33rd-64th Place
Daily Silver & Friends Slots (1900105) | Silver,Cap | 64 / 64 - Bo7 | Yesterday | 3rd/4th Place
Daily Midday Perfecto (2530168) | PD Daily | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Daily Low Silver Only (1970007) | Silver | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Daily High Heat in the Morning (2080178) | PD Daily | 64 / 64 - Bo7 | Yesterday | 33rd-64th Place
Daily Bronze 1910-59 (1640174) | Bronze | 64 / 64 - Bo7 | Yesterday | 9th-16th Place
Tuesday Up to 1969 (1450025) | Op,TW | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Daily Gold Slots (1320178) | Gold,Cap | 64 / 64 - Bo7 | Yesterday | 3rd/4th Place
