Friday Nightmare Cap (1540026) | Slv,Cp,TW | 128 / 128 - Bo7 | Today | 33rd-64th Place
Thursday Night Put it in the Books (2380026) | PD Weekly | 256 / 256 - Bo7 | Yesterday | 33rd-64th Place
Daily All-Diamond (2200188) | PD Daily | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Daily Late Silver (1240188) | Silver | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Thursday Night Gold Rush (1530026) | Gld,TW | 256 / 256 - Bo7 | Yesterday | 65th-128th Place
Daily Diamond Jumble Slots (1800188) | Diamond,Cap | 64 / 64 - Bo5F7 | Yesterday | 17th-32nd Place
Daily Goldfather II (1290187) | Gold | 128 / 128 - Bo7 | Yesterday | 33rd-64th Place
Daily High Silver-Low Gold Cap (1910114) | Gold,Cap | 64 / 64 - Bo7 | Yesterday | 3rd/4th Place
Daily All-Gold (2120187) | PD Daily | 64 / 64 - Bo7 | Yesterday | 9th-16th Place
Thursday CWhit's Cap Challenge 5 (1870019) | Op,Cp,TW | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Daily Silver & Friends Slots (1900114) | Silver,Cap | 64 / 64 - Bo7 | Yesterday | 33rd-64th Place
Thursday Silver Spectacular (1510026) | Slv,TW | 256 / 256 - Bo7 | Yesterday | Eliminated
Thursday Overnight Under the Covers - ORD (2360026) | PD Weekly | 256 / 256 - Bo7 | Yesterday | 65th-128th Place
Wednesday Perfectly Bronze (2350026) | PD Weekly | 128 / 128 - Bo7 | Sep. 16th | 65th-128th Place
