Daily All-Diamond (2200189) | PD Daily | 64 / 64 - Bo7 | Yesterday | Winner!
Daily Late Silver (1240189) | Silver | 128 / 128 - Bo7 | Yesterday | 3rd/4th Place
Daily Goldfather II (1290188) | Gold | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Daily Perfectly Bronze (2140188) | PD Daily | 64 / 64 - Bo7 | Yesterday | 9th-16th Place
Daily Late 1900s (1940115) | Open | 64 / 64 - Bo7 | Yesterday | 9th-16th Place
Daily Silver & Friends Slots (1900115) | Silver,Cap | 64 / 64 - Bo7 | Yesterday | 5th-8th Place
Daily Midday Perfecto (2530178) | PD Daily | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Friday Draft About Nothing (2390026) | PD Weekly | 256 / 256 - Bo7 | Yesterday | Eliminated
Friday Danksville (1550026) | Iron,T Weekly | 256 / 256 - Bo7 | Yesterday | Eliminated
Daily Low Gold Only (1280188) | Gold | 64 / 64 - Bo5F7 | Yesterday | 33rd-64th Place
Daily Live Plus (1860171) | Open | 64 / 64 - Bo7 | Yesterday | 2nd Place
Daily Bronze 1910-59 (1640184) | Bronze | 64 / 64 - Bo7 | Yesterday | 33rd-64th Place
Friday Nightmare Cap (1540026) | Slv,Cp,TW | 128 / 128 - Bo7 | Yesterday | 33rd-64th Place
Thursday Night Put it in the Books (2380026) | PD Weekly | 256 / 256 - Bo7 | Sep. 17th | 33rd-64th Place
