Daily Struggling to Sleep - DBL (2240193) | PD Daily | 64 / 64 - Bo3F5 | Today | 17th-32nd Place
Tuesday Sporer's Sandlot (1470027) | Gld,Cp,TW | 128 / 128 - Bo7 | Yesterday | 3rd/4th Place
Tuesday Perfectly Iron Mevening (2320027) | PD Weekly | 256 / 256 - Bo7 | Yesterday | Eliminated
Daily Bronze OOTP Era (1820176) | Bronze | 128 / 128 - Bo7 | Yesterday | 17th-32nd Place
Daily Silver Snapshots (1650189) | Silver | 128 / 128 - Bo7 | Yesterday | 3rd/4th Place
Daily Late 1900s (1940119) | Open | 64 / 64 - Bo7 | Yesterday | 5th-8th Place
Daily Silver & Friends Slots (1900119) | Silver,Cap | 64 / 64 - Bo7 | Yesterday | 9th-16th Place
Daily Midday Perfecto (2530182) | PD Daily | 64 / 64 - Bo7 | Yesterday | 33rd-64th Place
Daily Open Slots (1410192) | Open,Cap | 64 / 64 - Bo7 | Yesterday | 33rd-64th Place
Daily Live Plus (1860175) | Open | 64 / 64 - Bo7 | Yesterday | 33rd-64th Place
Tuesday Up to 1969 (1450027) | Op,TW | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Daily All-Star Hardware Slots (1390189) | Open,Cap | 32 / 32 - Bo7 | Yesterday | 17th-32nd Place
Dr. Dynastic's Daily Time Travelers Slots (1930118) | Open,Live,Cap | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Daily Early Bronze (1170192) | Bronze | 128 / 128 - Bo7 | Yesterday | 33rd-64th Place
Monday Night History Lesson (2290027) | PD Weekly | 256 / 256 - Bo7 | Sep. 21st | 17th-32nd Place
Daily Low Bronze Only (1220192) | Bronze | 64 / 64 - Bo5F7 | Sep. 21st | 33rd-64th Place
