Daily Silver & Friends Slots (1900121) | Silver,Cap | 64 / 64 - Bo7 | Today | 33rd-64th Place
Daily Midday Perfecto (2530184) | PD Daily | 64 / 64 - Bo7 | Today | 17th-32nd Place
Daily Open Slots (1410194) | Open,Cap | 64 / 64 - Bo7 | Today | 17th-32nd Place
Daily High Heat in the Morning (2080194) | PD Daily | 64 / 64 - Bo7 | Today | 9th-16th Place
Daily All-Star Hardware Slots (1390191) | Open,Cap | 32 / 32 - Bo7 | Today | 5th-8th Place
Daily Bronze Only Curiosities (1180194) | Bronze | 64 / 64 - Bo7 | Today | 17th-32nd Place
Thursday Splendid Silver Only Spectacular (1510027) | Slv,TW | 256 / 256 - Bo7 | Today | Eliminated
Daily Struggling to Sleep - DBL (2240194) | PD Daily | 64 / 64 - Bo3F5 | Today | 33rd-64th Place
Thursday Overnight Under the Covers - ORD (2360027) | PD Weekly | 256 / 256 - Bo7 | Today | 65th-128th Place
Daily Perfecto Primetime (2540184) | PD Daily | 32 / 32 - Bo7 | Yesterday | 9th-16th Place
Wednesday Perfectly Bronze (2350027) | PD Weekly | 128 / 128 - Bo7 | Yesterday | 17th-32nd Place
Wednesday Night of the Living Deadball (1500027) | Op,TW | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Daily Bronze PTCS 3 Replay Slots (1890120) | Bronze,Cap | 64 / 64 - Bo7 | Yesterday | 33rd-64th Place
Wednesday Around the Gold (2630000) | PD Weekly | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
