Wednesday Ice to See You (1490027) | Dia,TW | 256 / 256 - Bo7 | Yesterday | 5th-8th Place
Daily Silver Snapshots (1650190) | Silver | 128 / 128 - Bo7 | Yesterday | 33rd-64th Place
Daily Late 1900s (1940120) | Open | 64 / 64 - Bo7 | Yesterday | 3rd/4th Place
Daily Open Slots (1410193) | Open,Cap | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Wednesday Bring the High Heat (2330027) | PD Weekly | 256 / 256 - Bo7 | Yesterday | 65th-128th Place
Wednesday 1950 to Now (1480027) | Op,TW | 128 / 128 - Bo7 | Yesterday | 65th-128th Place
Daily Bronze 1910-59 (1640189) | Bronze | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Daily Bronze Only Curiosities (1180193) | Bronze | 64 / 64 - Bo7 | Yesterday | 17th-32nd Place
Daily Struggling to Sleep - DBL (2240193) | PD Daily | 64 / 64 - Bo3F5 | Yesterday | 17th-32nd Place
Tuesday Sporer's Sandlot (1470027) | Gld,Cp,TW | 128 / 128 - Bo7 | Sep. 22nd | 3rd/4th Place
Tuesday Perfectly Iron Mevening (2320027) | PD Weekly | 256 / 256 - Bo7 | Sep. 22nd | Eliminated
