id,title,mode,stadium,fee,dh,entrants,ratings_cap,card_year,sim_runs,error
504,Bronze Quick 2010,Bo5,2025 Standard Stadium,Free,Yes,16,40 - 69,,1177,
507,Gold Quick 2010,Bo5,2025 Standard Stadium,Free,Yes,16,40 - 89,,753,
505,Iron Quick 2010,Bo5,2025 Standard Stadium,Free,Yes,16,40 - 59,,651,
580,EF H2H Gold 2010,Bo7,2025 Standard Stadium,Free,Yes,2,40 - 89,,153,
554,Laptophound's Daily 5L Deadball 1907,Bo7 Finals Bo9,1936 Crosley Field,Free,No,128,40 - 79,,111,
555,Laptophound's Daily 6L Power Play 1999,Bo7 Finals Bo9,1984 Olympic Stadium,Free,No,128,40 - 89,,108,
508,Diamond Quick 2010,Bo5,2025 Standard Stadium,Free,Yes,16,40 - 99,,101,
775,Daily Sporer's Golden Childhood 1984,Bo5,1958 Tiger Stadium,Free,Yes,64,40 - 89,1980 - 2009,84,
557,Daily Early Gold 1920,Bo5,1946 Ruppert Stadium,Free,No,64,40 - 89,,78,
586,Daily Low Gold Retrospectus 1962,Bo5 Finals Bo7,1961 LA Wrigley Field 1961,Free,No,64,40 - 84,,66,
563,Daily Gold Cap 2010,Bo7,1955 Fenway Park,Free,Yes,32,40 - 89,,58,
506,Silver Quick 2010,Bo5,2025 Standard Stadium,Free,Yes,16,40 - 79,,58,
588,Daily Bagels and Schmear with EVCinNYC 1935,Bo5,1955 Ebbets Field,Free,No,64,40 - 105,,55,
634,Daily Silver Heart 1986,Bo7,1984 Jack Murphy Stadium,Free,No,64,40 - 79,1930 - 1989,54,
528,Daily Live Gold 2019,Bo7,2026 Wrigley Field,Free,Yes,128,40 - 89,,50,
774,Daily Silver & Friends Deadball Slots 1919,Bo7,1886 Swampoodle Grounds,Free,No,64,,1800 - 1920,50,
521,Daily Silver Slots 2010,Bo5,2026 Oracle Park,Free,Yes,64,40 - 79,,48,
635,Daily Golden Heart 1977,Bo7,1977 Olympic Stadium,Free,Yes,64,40 - 89,1930 - 1989,48,
