//Rank,User,Team,Points,Played,Combined,Best
1,brando99,Lyman Legends,618,211,6103,1
2,weirsy99,BAGgin' Dingers TTC,612,194,6556,1
3,hppppy,Lindy Hops,597,188,5302,1
4,nmize0,Kansas City Sloppers,563,246,7993,1
5,bphilb,Sanford Riverwalks - GH,512,192,6050,1
6,chha1998,Tokyo Trail Blazers,506,226,6828,1
7,thirdteam,Winnipeg Blue Bombers,503,209,6826,1
8,jbiggs78,Charlotte Hellcats GH,450,162,5192,1
9,JoshJackson42,New England Bees,450,202,6810,1
10,bearpete,Philadelphia Oil Barons,443,209,6590,1
11,chefkd3,O'block Scoundrels,440,230,7884,1
12,Spongee66,Winnipeg GoJetsGo,432,215,7285,1
13,Fheee,Huntsville Sweet Biscuits,428,202,5992,1
14,zpronouncedzed,Hardware City Rock Cats,412,158,4757,1
15,DarylUCLA,UCLA Bruins - BFF,409,173,6336,1
16,campbell1112,New Platson Grand Petites,407,197,6339,1
17,giants507,Vancouver Jays,399,178,5625,1
18,Infractor,Halifax Citadels,397,147,4420,1
19,pjcjc1995,Seoul Hannams,393,154,5842,1
20,jadrien1,jadrien1 no problem,392,258,9439,1
21,Coreydelder,Columbus Arches,386,164,5668,1
22,mofk,Kim Hyeseong Abs,377,141,4971,1
23,redalligator,Late Capitalism Hellscape,374,177,6118,1
24,WARBot,. -,373,158,5195,1
25,AW13,AW Bees - GH,367,138,5400,1
26,bierhoff00,Texas Briskets,362,181,7019,1
27,LeoRemus,Ottawa Lynx - HotL,360,175,6799,1
28,RTR1776,Kansas City Torrent,356,127,4110,1
29,KINGLORDBOT,California Ragebaiters,346,237,8371,1
30,seraphucked,Summerglen Seraphs TBD,335,200,7342,1
31,jpalm,Globo Gym Purple Cobras,332,142,4064,1
32,Calis,New York Brownies,324,162,5387,1
33,shift3d,Winnipeg Brew Jays - HotL,320,135,4863,1
34,willhog,Englewood Pirates,319,141,4949,1
35,cmalosh,Milwaukee Braves,315,124,3776,1
36,VinSki,Huntington Bullsharks,315,132,3924,1
37,BillPitt37,Bethlehem BP-37 Bombers,315,169,6095,1
38,Stoudt525,Pennsylvania Fireflies,313,109,2991,1
39,Nex2,Viking Quest,309,114,3343,1
40,bdcable1,Cibolo Anklebiters,306,133,4069,1
41,Lowlyworm,Lowlyworm's Apple Car,302,138,5152,1
42,drshuey,Zanesville Greys,300,179,6348,1
43,waittilnextyear,La Crosse Fighting Frogs,297,90,2019,1
44,mlgilgen,Springfield Isotopes,296,140,4241,1
45,theroc44,New York Titans,296,144,5196,1
46,proteins22,New Old Yankees TTC,293,108,3128,1
47,Brinski2,Ballclub Brinski,293,109,3406,1
48,FranchiseTimeMachine,Franchise Time Machine,293,112,3660,1
49,nex3,Nexville Canadiens,292,93,2885,1
50,aramis9182,Concord Transcendentalists,290,69,1838,1
51,bdcable2,Cibolo Packsters PCK,289,134,5149,1
52,cubbyfanboy,Sydney Whalers,288,109,4095,1
53,Carini_Harpua,Gamehendge Lizards - HotL,281,130,5164,1
54,chartle85,Clear Spring Blazers,281,133,4251,1
55,hotroute07,Telluride Giants - CG,281,134,4275,1
56,SirFozzie,Boston Wombats,281,186,6221,2
57,smsetnor,Atlanna Ground Bones,280,101,4241,1
58,sprdelfin,Colorado Avalanche,280,103,3259,1
59,gocanes1962t4,Little Creek Hurricanes PCK,276,119,3335,1
60,Bjriand,Chihuahua Crickets,276,137,4399,1
61,MikeBatesTWIBH,Iowa City Prairie Rats,276,151,5453,2
62,gocanes1962t2,Savannah Hurricanes,273,102,2926,1
63,hedders8,Manchester Atoms,273,164,5733,1
64,roushac,North American 20 and 30 Somethings,271,90,2386,1
65,Fourscore4,Smyrna Stooges,269,87,2480,1
66,trojanman,Everett Aquasox,269,151,4882,1
67,AlbertPujols,Rosarito Ranas,268,99,3207,1
68,tcw1988,Atlanta Mariners,268,137,4756,1
69,mikezone13,Eastwood Woodies,267,126,4951,1
70,streamteam,Charlotte Dachshunds - GH,266,93,3802,1
71,lava,Bloody Nines - CG,265,57,1867,1
72,RQIII,Buffalo Braves,265,76,2506,1
73,dougdascenzo,Fletcher Froggers,265,128,4322,1
74,Attica,AOL AtticaOnline,264,112,3379,1
75,aal333,Chicago Beans - CG,263,100,3405,1
76,OtmarCervenka,St. Louis Battlehawks,262,133,4561,1
77,Francheesay,Apollo Justice Ace Sportsballers,262,140,5897,2
78,jocan44,Pensacola Swampangels,261,123,4413,1
79,fussmucker,PA Freedom,257,145,4453,1
80,mawiffen,Tavistock Baseballersons,256,95,2608,1
81,hui,Taiwan Taipei,256,117,3699,1
82,Simmy99,Toronto Blue Jays,255,142,4499,1
83,Jacket1515,Sixes Tornadoes,253,91,3974,1
84,emeraldblade81,Bowling Green Falcons,250,73,1710,1
85,shives,Orange Jackrabbits,250,97,2680,1
86,Jerthebear,Milwaukee Milkmen,248,105,3302,1
87,da_commish,Eden Prairie Landsharks,246,138,4465,1
88,FoolsErrand,Dock Ellis Day-Trippers,244,98,3003,1
89,rfgh2020,Daegu Pilots,243,109,3699,1
90,atomzero,Normal Night Owls,243,122,5331,1
91,reevesa01,Lynnwood Pogos,242,88,2779,1
92,imwarden,Red Dirt Cowboys,242,150,5038,1
93,alesimeon,Perugia Warriors,238,151,4660,1
94,Talonx,Mount Juliet Golden Retrievers,235,89,2858,1
95,laptophound,Rocky Mountain Gladiators DBL,232,105,4645,1
96,WolfMan56,Michigan Black Bears,232,116,4811,2
97,gfunky24,Tippecanoe Terrors,232,118,3911,1
98,cfilipsen,Kansas City Royals,231,88,2562,1
99,hansenm1978,Svendborg Sailors,231,158,5507,1
100,Rob_Deer_in_the_Headlights,El Paso Preguntas,229,90,2810,1
101,tommyhoogy,Puget Sound Giant Pacific Octopi,229,94,3509,1
102,jaw1727b,Fayetteville Woodpeckers,228,82,2263,1
103,mannyt,Roaming Rascals CG BFF,228,91,3232,1
104,IceRayn5,Camjaveratyn O-Forge,227,77,2301,1
105,gustoes,Looking Glass Loopers TBD,227,142,6502,1
106,muSICKLessons,Ujdur Illusion 1  2 Joe Gunson Roses,225,116,3890,1
107,balfazzar,Legends of the Devil Rays TTC,223,128,5302,1
108,EVCinNYCmgr,EVC's Quinipacks Only Rippers PCK,222,84,2459,1
109,dgray4l,Homestead Grays - HotL,219,81,3021,1
110,sm6986,Rajasthan Rifles Rifles,217,102,3289,1
111,jbeighley78,Charlotte Hellcats Too GH TTC,214,80,2299,1
112,jaw1727,Sugar Land Space Cowboys,214,117,3367,1
113,murray88,Moosejaw Moosejaws,212,79,2537,1
114,rmh,CT Ospreys,211,79,2399,1
115,dodgers7777,San Jose Cat Army,210,139,5403,2
116,alsocoleman,Big Yahoo Ball Club,209,91,3020,1
117,MonsterMasher5,Guelph Gryphons,209,126,4289,2
118,Cosmey5,Beaver Dam Beavers,208,127,4242,1
119,ZaphenathPaneah717,Kentucky Thunder,206,106,4162,1
120,rpatti47,Jersey Devils,206,112,3735,2
121,owenthejammy1,Moonsault Collective MCs,204,105,3377,3
122,Sipimi,Kamouraska Sportagie,203,61,1831,1
123,Badfish249,Winneconne Wolves,203,117,4044,2
124,noragar,Alexandria SafeZone,202,64,2712,1
125,boomer70,Winnipeg Golden Knights,202,88,2662,1
126,Peakashoo,Seoul Dragons,202,105,3603,1
127,Jayke14,Mary Washington Eagles,201,111,3989,1
128,bearon1009,East Cleveland Buckeyes,200,65,1765,1
129,AlanW,West Kildonan Whips,200,121,4138,1
130,yuzuru4,SSG Landers,199,91,3102,1
131,qm3125,Dungeon Meshi Marcille,199,93,3457,1
132,Duncaroo,West Hartford Max Oysters - CG,199,95,3404,1
133,zachbl757,San Diego Hilario's,198,73,2789,1
134,josh31ut,Shartlesville ShihTzus - HotL,198,90,2752,1
135,NateLovesGallo,Gotham City Batmen,197,81,2437,1
136,jaw1727a,Corpus Christi Hooks,197,86,2392,1
137,Suds008,Kemptville Chickens,196,107,4076,1
138,mcnick12,San Diego 5050 Raffle Sellers,194,85,2855,1
139,Nex,Panglao Tarsiers,194,91,3591,1
140,corbino77,Moncton Mosquitos,193,97,3481,1
141,RANGERS1030,Absolute Units,193,123,4539,1
142,naede,Imatra Pallo-Veikot,193,164,6633,2
143,tuffywilliams,Gainesville Aggies,192,84,3094,1
144,TeddyO3,Energy Efficiency,191,115,3746,1
145,cjens,SLC Punks,190,78,2147,1
146,littleMAC77,Liberty Express,189,151,5905,1
147,willsmithrakes,San Leandro Barbosas,187,50,1568,1
148,smbriggs,Ann Arbor Arcanines,187,68,1974,1
149,Millertime059,Beaverton Brew Dogs,187,91,4291,1
150,drudonohue,Carlos Chaos Cats,186,87,2761,2
151,O_Welles,Three Mile Island Atomic Isotopes,186,97,3646,2
152,TangledinJoy,Psychic 9-5 Club,185,65,1903,1
153,Acuna_Matata13,Totally TOS Compliant,184,49,1230,1
154,louisqzer,New York Blind Squirrels,183,102,4017,1
155,The_DrG,Fire Sale Extraordinaire,183,103,3862,1
156,GrinerMB282,Billy's Beane Counters,182,95,3812,1
157,jawa42,New Haven Corsairs,182,129,5075,2
158,JoeQuills,Philadelphia Unathletics,181,81,3468,1
159,MURedhawks,Wilmington(NC) Beaches,180,105,3560,1
160,b30b30,Santiago Caballeros PCK,179,104,4715,1
161,AGordon1109,Grace Os,178,55,1997,1
162,Atomic_Gnat,Los Alamos Atomic Gnats,178,105,3316,1
163,MortaleMago,Flagship City Kitties,178,106,4328,1
164,thebestteam,Bakersfield Blazers,178,113,4769,1
165,Tirin,Kitchener Flying Pigs,176,49,1596,1
166,vivmeep,Tuskvale Mammoths,173,59,1660,1
