//Rank,User,Team,Points,Played,Combined,Best
1,mjtebo,Madison Mohicans - CG,134,22,1306,1
2,catnip,Vermont Lake Monsters,134,31,2222,1
3,thelwynn,Laffy Comedians - CG,130,25,2590,1
4,jspy83,Houston Swangas,129,29,2642,1
5,Doctor_Gonzo,Salty Hall Monitors TBD,129,31,2315,1
6,famarte,Cibao Aguilas,127,32,3176,1
7,goatfishman,Melmond Liches,120,25,2304,1
8,mosesk,Louisville Scarlett,115,25,2085,1
9,dgray4l,Homestead Grays - HotL,114,23,2112,1
10,Kerim,NoseKerim Astea Kerim,108,26,1871,2
11,gpiazza,Denver White Elephants,106,29,2589,1
12,mannyt,Roaming Rascals CG BFF,105,23,2153,2
13,CurlingSEA,Georgia (Tech) On My Mind,105,28,2193,1
14,SirPeanut,Lima Ligers,103,27,1844,2
15,Fabtron7,Ted Williams' Frozen Head - DGAF,102,27,2637,1
16,spatrick4,Freedom Grabbers - HotL,101,24,2325,2
17,Tracerbullet,Osea Razgriz,101,28,2815,3
18,DDawson1990,Exeter Padres,100,20,1445,1
19,dkudela,Pronouncers of Nonsense,100,28,2810,1
20,oaky,Ye Ye,100,33,3283,1
21,dwiz7,Frederick Ghost Hounds,99,25,2250,1
22,jpmile,Los Altos Undertakers,98,25,2354,2
23,Eltoasto,Shibuya Shredders - GH,98,29,3210,2
24,kirkeby14,Amarillo Armadillos,93,30,3523,2
25,statsmonger,Punxsutawney Deja VU,92,26,2609,1
26,geysers,Tuscaloosa Thunderbirds,91,21,1811,1
27,junhs,HILITE RECORDS,91,28,2350,2
28,ianofalltrades,Paso Robles Powerhouse,91,35,3166,3
29,jcomey,Albion Rounders,87,22,1760,2
30,cryptokurt,Bitcoin City Bulls,87,23,3021,1
31,stradico,Desert Sand Dwellers,86,22,1184,2
32,BThom,Ann Arbor Blue - CG,86,26,2092,3
33,cwhitman,Castroville Mashers - CG DCFC,86,33,3424,4
34,giantsfan,Grand Prairie Dust Devils,85,18,1169,1
35,mdd31,Las Vegas Outlaws,85,22,2093,1
36,JAtlas,Vero Beach Screwballs,85,22,2179,4
37,dsslow,Diablos Rojos del Mexico,85,28,2440,3
38,Sandmd1,Encinitas Rockfish,84,17,1458,1
39,ubernoob,Twin Peaks Steeplejacks,84,19,2088,1
40,mfentin21,Grapevine Velocity,84,26,2544,1
41,JeRP,Lawrence Wildboyz,83,20,2270,1
42,JHenryWaugh,Monterey Ostriches,83,25,2978,1
43,royberroa03,Poscast Meaningless Things,83,29,2772,5
44,dstaley,Guerreros de Oaxaca,83,30,2684,2
45,strak1,Pinoy Pals,82,19,1544,2
46,Keithmt2025,Colorado Mountaineers,82,21,2184,2
47,Readymade1,Kauai Emeralds,82,25,2380,3
48,maparrish,Hershey Hammerheads,80,13,1098,1
49,BriDav005,Newport News Dodgers_TTC,80,17,1696,1
50,ricktheruler76,Freedom Grabbers - Hotl,80,30,2637,5
51,Greggylad15,Southampton Sox,79,21,1755,1
52,RAM24,Blackstone Miners,79,21,2196,4
53,BteamBomber,Henry Murder Hornets,79,32,3180,2
54,Broadstlegends,Gettysburg Federals,78,23,2065,1
55,AngusFrankfurter,Cherry Grove Lazer Raptors,78,32,3647,4
56,Daviddonovan,San Dimas Time Travelers - BFF,77,30,2962,2
57,runningitup,Hopkins Hoppers,76,27,2997,2
58,BriDav00,Peninsula Whips,75,23,2073,2
59,TeddyO5,Frankfurt Hot Dogs,75,24,2430,2
60,TayMorris2727,Ringsted Danes,75,27,2432,1
61,robdoc,Lehigh Valley Militia,75,29,3235,2
62,philo1,Grover Beach Grouches,74,21,1105,1
63,RedHistorian,Millbrook Dam Busters - HotL,74,29,3260,2
64,suprmane,Susquehanna Soniqs,73,31,3715,2
65,Phoenix6767,Winnipeg Goldeyes,72,22,2114,1
66,LeoRemus11,Jon Dowd Supremacy TTC,72,25,2106,2
67,Isarnan,Dark Web Hackers,72,30,3169,7
68,weas,Norman Wild Dogs,72,33,3643,4
69,TheGreatBambi,1st Class Millionaires,71,29,3180,1
70,Sulha,Anyang Baekho,71,30,3190,2
71,rjmeyer,Angola Mine Sweeepers,70,8,578,1
72,John5539,Mos Eisley Smugglers,70,22,1810,5
73,danielsonmanlet,Atlantic City Surf,69,10,1016,1
74,shift3d,Winnipeg Brew Jays - HotL,69,12,1152,1
75,Jaultma2,Abbott Station Rail Riders,69,14,1420,2
76,stevez57,Philadelphia Fighting Zs,68,12,979,1
77,aaronreilly3,Toms River Barons,68,17,1491,2
78,Warhawk,Arcadia Wyverns,68,25,2415,3
79,mrogner,Chico Heat BFF,68,34,3039,3
80,DreamyMorning,Dreamy Morning,67,20,1825,3
81,huntedsours,Seoul Heroes,67,26,2741,1
82,ScarMilly,Young Cash Register aka Lil Broomstick,67,28,3598,4
83,iamnumber494,Castelia City 494s,67,29,3205,2
84,abcrawford72,Canterbury Tails,66,21,2239,4
85,jrooney325,Hudson Railers,65,14,670,1
86,mraudit2,Boston Reed Sox TTC,65,25,2341,1
87,twinndaddy,OBX Waveriders,65,26,1984,10
88,Skyrolla91,Portland Grizzlies - CG,65,30,3112,3
89,TheSlugfather,Dallas Skyline Sluggers-CG,65,30,3234,4
90,Isaac292929,Belltown Crows,64,16,1680,1
91,6wild,Seguin Seals,64,22,1452,9
92,fluffydawg987,Maine Red Claws,64,22,1922,9
93,HarackPhoto,Westerly PauseOx WlyPox,64,26,2286,8
94,DSLFC,Liverpool Reds,64,26,3381,2
95,friendofrobots,Tortilla Chips,64,32,3000,4
96,willnick,Warner Robins Demons - HotL,63,11,769,6
97,kmg555,Indio 49ers,63,29,3191,9
98,zevus,Tyler Trout,63,31,2569,7
99,stevezog1,East Side Educators,63,32,3562,3
100,JediRoninX,Jacksonville Rainstorm,62,13,1340,2
101,thatsmyboye,Scranton Parade Days,62,15,1927,1
102,willy0314,NEW YORK SPURS,62,19,1547,3
103,sdshrugged,Groundball Defenders,62,19,1889,2
104,joshparkin,MBQ Warriors,62,27,3428,10
105,edlusk1990,Rocket City Trash Pandas,61,13,1045,1
106,batboy,Rambling Road Apples,61,20,1764,2
107,Baggers,Bagtown Blues,61,21,1824,2
108,jrynmac,Queso Cats,61,22,2216,1
109,MojitoBoy,Spokane Squirrel Cats,61,24,2233,3
110,jsitko,Pulaski Pils,61,27,2179,6
111,Hollar,Allston Wolf Spiders,61,29,3596,2
112,283pro,Tokyo Shiny Colors,61,31,3029,4
113,GoCubsGo16,Webster Groves Supercells,60,19,1682,4
