//Rank,User,Team,Points,Played,Combined,Best
1,mjtebo,Madison Mohicans - CG,767,172,4251,1
2,Duncaroo,West Hartford Max Oysters - CG,657,139,3439,1
3,danielsonmanlet,Atlantic City Surf,631,135,3327,1
4,shift3d,Winnipeg Brew Jays - HotL,601,171,4577,1
5,philo1,Grover Beach Grouches,590,149,3320,1
6,Eltoasto,Shibuya Shredders - GH,589,165,4400,1
7,aal333,Chicago Beans - CG,568,122,2689,1
8,spatrick4,Freedom Grabbers - HotL,557,117,3188,1
9,hotroute07,Telluride Giants - CG,529,100,2057,1
10,thelwynn,Laffy Comedians - CG,521,100,2750,1
11,lava,Bloody Nines - CG,498,120,3403,1
12,cwhitman,Castroville Mashers - CG DCFC,479,113,2769,1
13,andyg24,Sheffield Artefact Sceptics,459,156,4129,1
14,bearpete,Philadelphia Oil Barons,446,236,7271,1
15,kj22,Great Lakes Man-of-War-HOTL,430,143,4396,1
16,twinsfan,Everett Aqua Sox,428,177,5147,1
17,dadmetalbod,Mt Etna Hotter Otters - HotL,424,137,4068,1
18,Kerim,NoseKerim Astea Kerim,411,107,2894,1
19,ryan-koziol,Chicago Gamblers - E6,409,161,4658,1
20,BriDav00,Peninsula Whips,372,93,2299,1
21,jrynmac,Queso Cats,363,99,2532,1
22,MaxLP80,Bonney Lake LPs - GH,351,100,2633,1
23,Beckdawg,Charlotte Sundevils - CG,344,109,2949,1
24,solorush,Sammamish Totems,341,125,2905,1
25,bierhoff00,Texas Briskets,337,150,4410,1
26,Skyrolla91,Portland Grizzlies - CG,336,99,3375,1
27,tlasko,Cleveland Spiders - CG,326,122,3653,1
28,dkudela,Pronouncers of Nonsense,322,104,2696,1
29,jbiggs78,Charlotte Hellcats GH,309,81,2291,1
30,ckmental,Archdale Fear,304,112,3047,1
31,ilay620,Las Vegas Bat Country,297,78,1766,1
32,mikezone13,Eastwood Woodies,285,83,2638,1
33,jpalm,Globo Gym Purple Cobras,284,79,2377,1
34,TheSlugfather,Dallas Skyline Sluggers-CG,278,82,2168,1
35,LeoRemus,Ottawa Lynx - HotL,277,74,2138,1
36,Xtoforas,Breslau Binturings - HotL,276,77,2517,1
37,Fabtron7,Ted Williams' Frozen Head - DGAF,265,83,1941,1
38,MJBreit,Tulsa Doom,256,63,1501,1
39,dgray4l,Homestead Grays - HotL,256,83,3158,1
40,mannyt,Roaming Rascals CG BFF,242,81,2633,1
41,ntorsky,Door County Dockers,240,86,2092,1
42,sprdelfin,Colorado Avalanche,237,118,4127,1
43,BThom,Ann Arbor Blue - CG,236,60,1514,1
44,Bigtoe26,Duluth Superiors,236,61,1707,1
45,Jacket1515,Sixes Tornadoes,223,94,2832,1
46,Carini_Harpua,Gamehendge Lizards - HotL,222,57,1812,1
47,cubbyfanboy,Sydney Whalers,221,151,4348,2
48,statsmonger,Punxsutawney Deja VU,217,70,2044,1
49,smileyfacejane,Fargo Fielders,215,45,1182,1
50,MadMatt,Durham Los Toros,213,77,2494,2
51,RyanHall,Oceanside Baseballroos,209,67,2515,1
52,Grinchful,Houston Harambanators,205,73,2110,1
53,redsoxfaithful,Charlotte Aviators,203,58,1765,1
54,streamteam,Charlotte Dachshunds - GH,202,65,1932,1
55,Richter,Buhners Bombers,199,63,1826,1
56,Nex,Panglao Tarsiers,198,82,2003,1
57,dylanb29,London Knights,195,93,3822,1
58,DarylUCLA,UCLA Bruins - BFF,194,100,3104,1
59,JoshJackson42,New England Bees,192,116,4108,3
60,nicolji,Edinburgh Diamond Devils,191,86,2126,1
61,roushac,North American 20 and 30 Somethings,189,47,1263,1
62,asb12,San Diego Anchors,188,45,1638,1
63,cf97ab,London Tigers,187,67,1903,1
64,weirsy99,BAGgin' Dingers TTC,186,37,838,1
65,alesimeon,Perugia Warriors,184,58,1425,1
66,tommcaudillo,The Black Freighter TBD,184,86,3338,2
67,Bije,Sno Co Low Blow - HotL,183,51,1325,2
68,RedHistorian,Millbrook Dam Busters - HotL,181,58,1949,1
69,noragar,Alexandria SafeZone,181,91,2733,1
70,willnick,Warner Robins Demons - HotL,177,41,1299,1
71,suprmane,Susquehanna Soniqs,177,61,2895,1
72,thehuseman,Nashua Dodgers,176,62,1746,1
73,clayhoadley,Watertown Sword Guys TBD,176,72,2146,1
74,DA186,Clarkston Cougars,174,59,2241,1
75,MetaDurden,Third Earth Thundercats - HOTL,174,76,2892,2
76,drshuey,Zanesville Greys,174,195,7320,1
77,seraphucked,Summerglen Seraphs TBD,170,81,2768,2
78,willhog,Englewood Pirates,170,152,5223,1
79,dstaley,Guerreros de Oaxaca,168,62,1940,1
80,brando99,Lyman Legends,166,43,1040,1
81,alsocoleman,Big Yahoo Ball Club,166,51,1698,1
82,atomzero,Normal Night Owls,166,84,2096,2
83,randalld,New Barn Spartans,161,48,1269,1
84,RoJo,Mount Pleasant Mounties,161,75,3160,1
85,BillPitt37,Bethlehem BP-37 Bombers,158,70,1967,1
86,mandt,Madison Moundsmen - CG,157,24,382,1
87,Hensword,Kolnes Eagles,156,117,3780,3
88,dhornermb,Country Clubbers,153,88,3697,2
89,ArtistRanger2,Toronto Terns PCK,152,87,2867,1
90,GoCubsGo16,Webster Groves Supercells,147,36,862,1
91,gustoes,Looking Glass Loopers TBD,146,79,3065,1
92,GrinerMB282,Billy's Beane Counters,142,39,895,1
93,kelsotho,Freedom Grabbers - HotL,142,44,1325,1
94,hipandkneedoc,Asbury Springboks,140,99,3309,1
95,IceRayn5,Camjaveratyn O-Forge,140,104,3498,1
96,Constabie,Numenor Faithful,137,59,1741,1
97,friendofrobots,Tortilla Chips,136,64,1838,2
98,shadowlab2000,Shakedown 1977 Microbus TTC - HotL,132,56,1612,3
99,JonnyP,Dry Creek Craw Daddies,130,30,891,1
100,Fred_Beretta,HickoryHoller JayBirds,130,90,2898,1
101,Substituted,Chicago Gamblers - GH,129,50,1914,1
102,ItsHellboy,Sacramento Tuxedos - CG,127,44,1203,1
103,RTR1776,Kansas City Torrent,127,62,2218,1
104,hansenm1978,Svendborg Sailors,126,74,2677,2
105,Warhawk,Arcadia Wyverns,126,106,4331,3
106,Bonkers25,Brooklyn Cyclones,125,56,2112,1
107,gpiazza,Denver White Elephants,125,61,2615,2
108,EVCinNYC,EVC's Banshees,125,101,2773,2
109,Capes,Wheatfield Underdogs - GH,124,42,1299,1
110,Phredthebaker,Providence Friars - HotL,123,34,980,1
111,Kilgore_Trout,Herky Hyenas,123,39,1092,1
112,rumali,Birthday Boys TTC,123,124,4440,2
113,mawiffen,Tavistock Baseballersons,122,31,449,1
114,geno36,BunDang TyChe,120,42,1622,1
115,famarte,Cibao Aguilas,120,47,2364,1
116,miketx56,Borger Busch Slammers,120,58,1627,2
117,Strifeknot,Wokingham Night Shift,119,46,1643,1
118,Buchs76,Atlantic City Trash Chickens,119,55,1864,1
119,iamnumber494,Castelia City 494s,119,94,3299,2
120,jrooney325,Hudson Railers,118,36,1821,1
121,hometownmarkup,Waltham River Otters,118,72,3243,1
122,AlbertPujols,Rosarito Ranas,116,75,2038,2
123,AW13,AW Bees - GH,115,28,785,1
