//Rank,User,Team,Points,Played,Combined,Best
1,josh31ut,Shartlesville ShihTzus - HotL,576,95,2418,1
2,mawiffen,Tavistock Baseballersons,442,111,2746,1
3,jbiggs78,Charlotte Hellcats GH,419,78,2004,1
4,kelsotho,Freedom Grabbers - HotL,397,91,2691,1
5,JonnyP,Dry Creek Craw Daddies,330,100,3622,1
6,Kilgore_Trout,Herky Hyenas,295,100,3607,1
7,weirsy99,BAGgin' Dingers TTC,291,80,2685,1
8,werbenmanjensen1,Freedom Grabbers - HOTL,283,87,3499,1
9,jpalm,Globo Gym Purple Cobras,277,58,1554,1
10,Mohillian,Morgan Hill Vaqueros - TBD,245,66,2225,1
11,RTR1776,Kansas City Torrent,244,72,2360,1
12,cstream2,Chicago Seals,242,48,1382,1
13,robdoc,Lehigh Valley Militia,234,68,2629,1
14,philo1,Grover Beach Grouches,233,63,1895,1
15,balfazzar,Legends of the Devil Rays TTC,221,52,1601,1
16,Phredthebaker,Providence Friars - HotL,217,62,1879,1
17,ilay620,Las Vegas Bat Country,217,69,2169,1
18,Bije,Sno Co Low Blow - HotL,216,53,1892,1
19,TheSlugfather,Dallas Skyline Sluggers-CG,211,48,1148,1
20,theroc44,New York Titans,207,70,2389,2
21,Isarnan,Dark Web Hackers,203,47,1490,1
22,DarylUCLA,UCLA Bruins - BFF,193,63,1838,2
23,dkudela,Pronouncers of Nonsense,191,55,1706,1
24,friendofrobots,Tortilla Chips,189,73,2693,1
25,runningitup,Hopkins Hoppers,180,42,2030,1
26,MoonlightMatt,Maple Madness,171,42,1710,1
27,Kerim,NoseKerim Astea Kerim,167,43,1661,1
28,aal333,Chicago Beans - CG,164,27,995,1
29,ryan-koziol,Chicago Gamblers - E6,164,48,1241,1
30,lava,Bloody Nines - CG,163,26,608,1
31,ricktheruler76,Freedom Grabbers - Hotl,159,36,1161,1
32,kj22,Great Lakes Man-of-War-HOTL,155,37,1022,1
33,RedHistorian,Millbrook Dam Busters - HotL,155,41,1486,1
34,hansenm1978,Svendborg Sailors,152,65,2180,1
35,Vialabo,El Vampiro Ankle Biters,151,69,2087,1
36,alesimeon,Perugia Warriors,150,40,1145,1
37,Stormin48,Nocatee Gators,150,66,2459,1
38,mrogner,Chico Heat BFF,140,46,1824,2
39,thelwynn,Laffy Comedians - CG,139,24,1181,1
