//Rank,User,Team,Points,Played,Combined,Best
1,sourd99,New Planet Gophers TBD,469,176,6930,1
2,Rob_Deer_in_the_Headlights,El Paso Preguntas,420,157,6591,1
3,bdcable2,Cibolo Packsters PCK,389,158,6957,1
4,HermanSmutley,Southend Seasiders,336,91,3883,1
5,mraudit,Meaty Oakers,331,166,7154,2
6,pray_for_pray,Guro Gunslingers,329,107,5295,1
7,jayz,Hyannis Harbor Hawks,323,164,6881,1
8,jcomey,Albion Rounders,311,109,4924,1
9,gocanes1962t4,Little Creek Hurricanes PCK,300,133,6427,1
10,pwney,Big Memers,300,158,7584,1
11,moggsy,Reno Raccoons,294,149,7547,1
12,asb12,San Diego Anchors,280,56,2784,1
13,downpat75,Idaho Taters,277,125,5555,1
14,madmask,Myrtle Beach MaskMen,273,91,3680,1
15,mfentin21,Grapevine Velocity,266,69,2653,1
16,richgrisham,Billy Strings,252,139,6566,2
17,zrog2000,Apex Predators,251,83,4228,1
18,bdcable1,Cibolo Anklebiters,246,97,4062,1
19,ZadyJones,Zady Zadathans - 643,244,124,4732,1
20,Jaultma2,Abbott Station Rail Riders,243,104,6026,1
21,Bigphatman87,Brentwood Guggenheims SoM,237,132,6347,1
22,BeatleBoy9112,B-Town Barnstormers PCK,231,61,2695,1
23,MattyGVT,West Palm Sharks,229,73,3206,1
24,fussmucker,PA Freedom,228,101,3929,1
25,Carini_Harpua,Gamehendge Lizards - HotL,227,81,2725,1
26,Francheesay,Apollo Justice Ace Sportsballers,226,101,4455,1
27,cjens,SLC Punks,224,104,3932,1
28,DiamondGrey,Pittsburgh Pixelators,221,124,5730,1
29,ErieGM,Erie Seawolves,219,91,5438,2
30,Bjriand,Chihuahua Crickets,216,73,3007,1
31,foghorn33,Strathroy Royals,212,80,4424,1
32,Thistledroyd,Manchester Camels,211,76,4006,2
33,FranchiseTimeMachine,Franchise Time Machine,209,73,2393,1
34,Razorstackz,Razorstackz Razor,209,88,5374,1
35,sfj,Jacksonville Leafs,208,89,4018,1
36,CJStark,Cleveland Vulcs,202,65,2963,1
37,O_Welles,Three Mile Island Atomic Isotopes,200,112,5038,2
38,mv1234,Phoenix Mango Slush - HOTL,198,89,5238,2
39,josh31ut,Shartlesville ShihTzus - HotL,195,79,2760,1
40,cmalosh,Milwaukee Braves,195,83,4296,1
41,Lowlyworm,Lowlyworm's Apple Car,184,52,2743,1
42,drdynastic,Red Rock Live TTC,182,62,2384,1
43,Hello_Friend426,Hello Friends - PCK,182,100,6591,2
44,Dr_Chaps,Totskoye Nuclear Bears,178,90,5845,1
45,nutbunnies,New Haven Ravens,176,75,4181,2
46,HermanSmutley1,Billys Bunters,176,83,4601,1
47,hansenm1978,Svendborg Sailors,172,84,3383,1
48,ErieGMv2,Erie Moon Mammoths PCK,171,90,5658,2
49,atomzero,Normal Night Owls,170,70,2989,1
50,hppppy,Lindy Hops,168,86,4474,2
51,DKing395,Sarasota Seminoles,168,89,3707,1
52,Kyllen,Washington Border Collies,168,92,5524,2
53,Rathier,Wasteland Outlaws,166,80,3890,1
54,NateLovesGallo,Gotham City Batmen,166,84,4019,2
55,chefkd3,O'block Scoundrels,165,67,3234,1
56,lava,Bloody Nines - CG,164,40,1551,1
57,Beckdawg,Charlotte Sundevils - CG,164,44,2619,1
58,tkinsherf,Boston Dash,164,99,5026,2
59,borischarly,Chilliwack Chiefs,163,94,5501,2
60,Kerim,NoseKerim Astea Kerim,160,45,1643,1
61,Klayylmao,Santa Barbara Mapachos,159,62,4187,1
62,EVCinNYCmgr,EVC's Quinipacks Only Rippers PCK,159,66,3724,1
63,robertcat,Denver Highlanders,159,93,4860,1
64,Spongee66,Winnipeg GoJetsGo,158,56,2736,1
65,VinSki,Huntington Bullsharks,158,59,2459,1
66,Feffer,Sack of Wet Mice,157,85,5037,2
67,BusterGrey2,Seattle Stealthier,156,51,2874,1
68,corgichickenleg,Whitetop Mountains,155,30,1874,1
69,Circusham56,Spartan Hill Clovers-PCK,155,121,6979,1
70,DA186,Clarkston Cougars,154,44,2346,1
71,pjcjc1995,Seoul Hannams,154,48,1467,1
72,muSICKLessons,Ujdur Illusion 1  2 Joe Gunson Roses,154,75,2520,1
73,heinrich_wilhelm,Atlanta Combine,153,71,4326,2
74,kratos9248,Casselberry Storm,149,68,4094,2
75,camonroe,Virginia Hunters,145,40,1906,2
76,Circusham,Clover Hill Spartans,143,100,5460,1
77,ryanp18,Detroit Tigers,141,38,2070,1
78,justinthenavy,Bloomingdale troopers,139,74,3524,2
