//Rank,User,Team,Points,Played,Combined,Best
1,Zooby2022,Tampa Bay Yankees 22,453,85,2582,1
2,spatrick4,Freedom Grabbers - HotL,415,62,1376,1
3,alesimeon,Perugia Warriors,396,88,2189,1
4,philo1,Grover Beach Grouches,378,95,2493,1
5,Fabtron7,Ted Williams' Frozen Head - DGAF,304,75,1636,1
6,ricktheruler76,Freedom Grabbers - Hotl,299,66,2453,1
7,MoonlightMatt,Maple Madness,286,54,1404,1
8,seraphucked,Summerglen Seraphs TBD,258,81,2721,1
9,kelsotho,Freedom Grabbers - HotL,245,67,2945,1
10,theroc44,New York Titans,234,48,1462,1
11,baseballjuice4254,East Troy Trojans,228,63,1989,1
12,joshparkin,MBQ Warriors,211,61,2675,1
13,willnick,Warner Robins Demons - HotL,210,57,2499,1
14,mjtebo,Madison Mohicans - CG,209,57,1610,1
15,shift3d,Winnipeg Brew Jays - HotL,208,58,2084,1
16,corgichickenleg,Whitetop Mountains,193,48,2775,1
17,mfentin21,Grapevine Velocity,190,50,2335,1
18,asb12,San Diego Anchors,188,33,1421,1
19,cwhitman,Castroville Mashers - CG DCFC,188,45,1430,1
20,Bije,Sno Co Low Blow - HotL,184,53,1566,1
21,Phredthebaker,Providence Friars - HotL,177,45,1228,1
22,Richter,Buhners Bombers,176,52,1581,1
23,Jacket1515,Sixes Tornadoes,175,62,2038,1
24,chefkd3,O'block Scoundrels,173,47,2290,1
25,robdoc,Lehigh Valley Militia,171,62,2014,1
26,Lord2FLI,Bluff City Blues,167,59,2717,1
27,BillPitt37,Bethlehem BP-37 Bombers,166,44,1074,1
28,Substituted,Chicago Gamblers - GH,163,32,1258,1
29,ztevans,Carolina Mudcats,162,86,3968,2
30,DarylUCLA,UCLA Bruins - BFF,161,67,2890,1
31,aal333,Chicago Beans - CG,159,34,1123,1
32,Carini_Harpua,Gamehendge Lizards - HotL,158,31,1440,1
33,drdynastic,Red Rock Live TTC,156,42,1784,1
34,xiayun2024,NorCal CGE,154,42,2044,1
35,jrynmac,Queso Cats,151,49,1701,1
36,EricByrnes,False Hustle,149,45,1591,1
37,jcomey,Albion Rounders,149,46,2051,1
38,dadmetalbod,Mt Etna Hotter Otters - HotL,148,45,1983,1
39,MattyGVT,West Palm Sharks,147,27,1209,1
40,RoJo,Mount Pleasant Mounties,141,40,1870,1
41,thelwynn,Laffy Comedians - CG,140,24,1432,1
42,JoshJackson42,New England Bees,137,42,1717,3
43,RedHistorian,Millbrook Dam Busters - HotL,136,36,1265,2
44,yazfan67,Westborough WooSox,136,52,2342,3
45,fussmucker,PA Freedom,135,46,2106,1
46,MadMatt,Durham Los Toros,132,31,1862,1
47,MaxLP80,Bonney Lake LPs - GH,132,36,1081,1
48,Succubus_Amber,Philadelphia Succubi,132,59,2857,1
49,JmRoto,. Roto,131,70,2796,1
50,Bjriand,Chihuahua Crickets,129,22,878,1
51,ADifferentJason,Old Orchard Beach Parking Lot - HotL,129,39,1139,2
52,bdcable1,Cibolo Anklebiters,128,39,1432,1
53,Fred_Beretta,HickoryHoller JayBirds,125,75,2233,1
54,chicoguilbault,Colt Pythons,124,67,2336,2
55,pray_for_pray,Guro Gunslingers,122,23,990,1
56,sourd99,New Planet Gophers TBD,122,38,1847,1
57,suprmane,Susquehanna Soniqs,121,36,2016,2
58,hansenm1978,Svendborg Sailors,121,80,3277,2
59,Skyrolla91,Portland Grizzlies - CG,119,29,1523,1
60,gpiazza,Denver White Elephants,118,38,2247,1
61,yuzuru4,SSG Landers,116,61,2710,1
62,username0251,Cudahy Day Drinkers,116,62,3338,1
63,CJStark,Cleveland Vulcs,115,39,1963,1
64,famarte,Cibao Aguilas,115,51,3032,1
65,TheGoldenCrow,Star City Arrows,115,69,3289,3
66,gocanes1962,PSL Hurricanes,113,39,1063,1
67,Eltoasto,Shibuya Shredders - GH,111,33,1019,1
68,Centre,Washington Bishops,111,34,2004,1
69,hotroute07,Telluride Giants - CG,110,40,1455,2
70,JFP,Monroe Braves,109,34,1186,1
71,Bonkers25,Brooklyn Cyclones,108,20,915,1
72,hdpoe,Boxted Thunderbolts,108,22,756,1
73,andyg24,Sheffield Artefact Sceptics,107,45,1107,1
74,twinndaddy,OBX Waveriders,107,54,2779,5
75,DA186,Clarkston Cougars,106,22,1022,1
76,kdwayne,Lexington Minutemen,106,37,1655,1
77,Cosmey5,Beaver Dam Beavers,106,40,2079,2
78,bearpete,Philadelphia Oil Barons,106,61,1529,2
