//Rank,User,Team,Points,Played,Combined,Best
1,GoCubsGo16,Webster Groves Supercells,473,100,3394,1
2,roosephmf,Flint Pheasants,451,65,2029,1
3,BriDav00,Peninsula Whips,442,117,3836,1
4,tlasko,Cleveland Spiders - CG,396,115,3881,1
5,LeoRemus,Ottawa Lynx - HotL,394,77,1893,1
6,WeAreMarshall,Marshall M.I.C.E.,381,81,2416,1
7,PeskyPole,Hetfield Sandmans,339,105,3687,1
8,jc25,Beckley Bucks,327,104,3608,1
9,alsocoleman,Big Yahoo Ball Club,297,83,3243,1
10,macadcar3,Like a Rock,274,94,3341,1
11,Bigtoe26,Duluth Superiors,272,67,2484,1
12,Jackphoenix,Tardis City Doctor Who,255,60,2482,1
13,mustardplug,Somerville Villains,254,52,1971,1
14,gocanes1962t2,Savannah Hurricanes,244,104,5041,1
15,muSICKLessons,Ujdur Illusion 1  2 Joe Gunson Roses,237,87,3907,1
16,Daviddonovan,San Dimas Time Travelers - BFF,236,48,1752,1
17,astory2go,Rock County Stratocasters,217,89,4615,1
18,dgray4l,Homestead Grays - HotL,216,39,1573,1
19,Carini_Harpua,Gamehendge Lizards - HotL,212,33,1143,1
20,brando99,Lyman Legends,210,66,2379,2
21,Sulha,Anyang Baekho,205,74,2675,2
22,roushac,North American 20 and 30 Somethings,203,35,1400,1
23,mikezone13,Eastwood Woodies,199,68,2478,1
24,Emmab217,Newark Bears,198,46,2090,1
25,GrinerMB282,Billy's Beane Counters,198,68,3012,2
26,Antfoodz,Roseville Cardinal,197,81,4099,1
27,Duncaroo,West Hartford Max Oysters - CG,194,39,1185,1
28,noragar,Alexandria SafeZone,190,71,2470,1
29,thelwynn,Laffy Comedians - CG,188,31,977,1
30,Kerim,NoseKerim Astea Kerim,187,37,960,2
31,ArtistRanger,Retro Birds TTC,183,63,2930,1
32,Bjriand,Chihuahua Crickets,181,88,4008,2
33,LeeD,San Diego Sharks,179,52,2619,1
34,FranchiseTimeMachine,Franchise Time Machine,179,86,3889,1
35,Torvald78,New York WS Participants TTC,177,78,2928,2
36,PumpDunkler,Watertown Pump Dunklers,174,56,2669,1
37,mjtebo,Madison Mohicans - CG,170,27,623,1
38,bdcable1,Cibolo Anklebiters,164,94,4799,1
39,danielsonmanlet,Atlantic City Surf,157,39,1226,1
40,Dono43,Corio Tigers,157,62,2177,1
41,hotroute07,Telluride Giants - CG,155,30,957,1
42,shift3d,Winnipeg Brew Jays - HotL,154,31,1003,1
43,statsmonger,Punxsutawney Deja VU,151,48,1677,1
44,Grinchful,Houston Harambanators,151,49,1630,1
45,dstaley,Guerreros de Oaxaca,149,48,1782,1
46,TayMorris27,ACGC Chargers,147,78,4437,1
47,thehuseman,Nashua Dodgers,139,42,1152,1
48,bogieman,Mankato Cougars,139,106,6387,1
49,cubsfan2003,Big Boys From B Teams TTC,138,84,4158,1
50,kj22,Great Lakes Man-of-War-HOTL,136,36,1422,1
51,BThom,Ann Arbor Blue - CG,135,19,495,1
52,ScottyW,Cleveland Commodores,133,31,1056,1
53,Eltoasto,Shibuya Shredders - GH,133,38,1178,1
54,djbutler,Terrordome Knights,132,81,4656,3
55,ckmental,Archdale Fear,131,24,656,1
56,mosesk,Louisville Scarlett,131,89,3987,2
57,jrynmac,Queso Cats,127,34,1247,1
58,mrogner,Chico Heat BFF,123,35,1198,1
59,GBrett05,Piper Down,122,79,4179,1
60,blaikknight8,Springfield Wonderbats,121,63,3144,4
61,BigDonkey,Triad Junkies,119,57,2914,3
62,streamteam,Charlotte Dachshunds - GH,117,32,1057,1
63,DA186,Clarkston Cougars,117,44,1761,2
64,malivion,Dewey Decimals,117,52,1966,1
65,Greenrobin,Hillside Decadents TTC,117,60,2773,2
66,waittilnextyear,La Crosse Fighting Frogs,116,43,1935,2
67,Substituted,Chicago Gamblers - GH,115,36,1654,1
68,iamnumber494,Castelia City 494s,115,82,3483,2
69,jbeighley78,Charlotte Hellcats Too GH TTC,113,47,2133,1
70,gustoes,Looking Glass Loopers TBD,112,41,1546,1
71,dbush2025,Indianapolis Stray Cats,112,68,3356,2
72,MaxLP80,Bonney Lake LPs - GH,111,34,1154,2
73,Spongee66,Winnipeg GoJetsGo,111,42,1668,2
74,andyg24,Sheffield Artefact Sceptics,110,31,767,1
75,BusterGrey2,Seattle Stealthier,108,17,843,1
76,MetaDurden,Third Earth Thundercats - HOTL,108,22,689,1
77,aal333,Chicago Beans - CG,108,33,1274,1
78,dag,Chicago Rat Finks,107,49,2084,1
