POS,Name,First Name,Last Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,ST,CID,Tier,Title,L10,VAR,VLvl,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,CON,PBABIP,HRA,STU vL,CON vL,PBABIP vL,HRA vL,STU vR,CON vR,PBABIP vR,HRA vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,1B_1,2B_1,3B_1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,K,GIDP,RC,WPA,wRC,wRAA,WAR,PI/PA,SB,CS,wSB,UBR,G_1,GS_1,W,L,HLD_1,SD,MD,IP,BF,AB_1,1B_2,2B_2,3B_2,HR_1,R_1,ER,BB_1,IBB_1,K_1,HP_1,SH_1,SF_1,WP,BK,CI_1,DP,GF,IR,IRS,pLi,PI,GB,FB_1,SB_1,CS_1,WPA_1,WAR_1,rWAR,SIERA,G_2,GS_2,TC,A,PO,E,DP_1,TP,RNG,ZR,EFF,SBA,RTO,IP_1,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
C,Gregg Zaun,Gregg,Zaun,Milwaukee Baba Yagas - HotL,5' 10',170 lbs,S,R,59,Baltimore Orioles,BAL,2007,2005-2014,CS,83544,Iron,Clubhouse - Y&O 1 - Veteran Presence  C Gregg Zaun  TOR  2007,0,N,0,56,85,73,106,100,84,110,10,114,101,37,78,83,103,100,26,2,Normal,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,OTT,Normal,1,6,81,78,29,7,5,4,6,9,2,5,-,62,-,-,-,-,-,-,-,9,62,-,-,-,-,-,-,-,10,5,5,13,3,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.0,-0.38,-1,-2.2,-0.2,5.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,2,2,19,0,19,0,0,0,9.68,0.0,.000,0,0,17.2,0,13,0,0,0,0,0,0,0,0,0,0,0.0,0.0
C,Gregg Zaun,Gregg,Zaun,Millbrook Dam Busters - HotL,5' 10',170 lbs,S,R,59,Baltimore Orioles,BAL,2007,2005-2014,CS,83544,Iron,Clubhouse - Y&O 1 - Veteran Presence  C Gregg Zaun  TOR  2007,0,N,0,56,85,73,106,100,84,110,10,114,101,37,78,83,103,100,26,2,Normal,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,1,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,OTT,Normal,1,6,81,78,29,7,5,4,6,9,2,5,-,62,-,-,-,-,-,-,-,9,62,-,-,-,-,-,-,-,10,5,5,13,9,9,34,26,6,3,1,0,2,5,6,5,0,1,0,2,0,8,0,5.5,0.34,5,1.5,0.3,3.97,0,0,0.0,-0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,9,9,87,3,84,0,0,0,10.04,0.4,1.000,5,2,78.0,0,32,2,2,0,0,0,0,0,0,0,0,-0.3,0.0
C,Tom Young,Tom,Young,Door County Dockers,6' 1',210 lbs,L,R,91,Kansas City Monarchs,KCM,1929,1921-1945,,84557,Diamond,Negro League Star  C Tom Young  KCM  1929,0,N,0,97,114,96,83,95,81,104,77,83,93,104,117,104,84,96,79,83,Normal,Normal,Spray,8,19,33,14,8,19,21,12,8,19,43,17,27,-,-,28,-,-,-,-,-,-,-,-,2,EX FB,92-94,3/4,Normal,50,60,67,67,71,25,21,22,19,45,56,56,53,67,-,-,-,-,49,-,-,53,67,-,-,-,-,49,-,-,67,64,89,61,6,6,25,21,7,4,3,0,0,2,4,4,0,0,0,0,0,2,0,4.9,0.14,4,2.0,0.3,4.28,0,0,0.0,-0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,6,6,53,3,49,1,0,0,8.83,-0.2,.667,0,0,53.0,0,29,4,3,2,2,0,0,0,0,0,0,-0.1,0.0
SS,Michael Young,Michael,Young,Beckington Historicals,6' 1',200 lbs,R,R,59,Texas Rangers,TEX,2008,2005-2014,,83921,Iron,Historical All-Star  SS Michael Young  TEX  2008,0,N,0,70,65,60,72,92,76,52,72,75,94,69,69,51,72,92,3,1,Normal,Normal,Normal,1,1,1,5,1,1,1,5,1,1,1,5,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,3/4,Normal,1,1,-,-,-,74,99,78,72,1,9,3,-,-,91,91,89,78,-,-,-,142,-,91,91,89,78,-,-,-,44,23,86,57,6,6,24,20,0,0,0,0,0,0,0,3,0,1,0,0,0,9,0,0.2,-0.39,0,-3.6,-0.2,4.21,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,7,6,21,15,5,1,1,0,3.27,0.3,.976,0,0,55.0,0,0,15,14,2,1,0,0,5,3,0,0,0.0,0.0
SS,Michael Young,Michael,Young,Seattle Stealth,6' 1',200 lbs,R,R,59,Texas Rangers,TEX,2008,2005-2014,,83921,Iron,Historical All-Star  SS Michael Young  TEX  2008,0,N,0,70,65,60,72,92,76,52,72,75,94,69,69,51,72,92,3,1,Normal,Normal,Normal,1,1,1,5,1,1,1,5,1,1,1,5,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,90-92,3/4,Normal,1,1,-,-,-,74,99,78,72,1,9,3,-,-,91,91,89,78,-,-,-,142,-,91,91,89,78,-,-,-,44,23,86,57,5,1,8,7,3,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1.2,0.05,1,0.7,0.1,4.00,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,1,1,2,1,1,0,0,0,2.25,0.1,1.080,0,0,8.0,0,0,2,2,0,0,0,0,0,0,0,0,0.0,0.0
1B,Kevin Youkilis,Kevin,Youkilis,Raise Da Cone,6' 1',220 lbs,R,R,94,Boston Red Sox,BOS,2009,2005-2014,ME,84197,Diamond,Live Collection Reward - Historical All-Star  1B Kevin Youkilis  BOS  2009,0,N,0,96,96,99,132,70,135,93,87,151,58,88,98,106,126,74,5,5,Normal,Pull,Pull,1,1,1,4,1,1,1,4,1,1,1,4,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,92-94,3/4,Normal,1,10,-,-,-,73,75,84,39,48,60,56,-,-,86,-,77,-,53,-,-,128,-,86,-,77,-,53,-,-,39,23,63,47,6,6,26,22,6,3,1,0,2,4,4,2,0,1,1,0,0,6,1,4.4,0.37,4,1.8,0.2,3.50,0,0,0.0,-1.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,6,6,49,7,42,0,0,0,8.37,0.7,1.082,0,0,52.2,0,0,13,13,2,2,0,0,0,0,0,0,0.0,0.0
1B,Kevin Youkilis,Kevin,Youkilis,Aumsville Addicts,6' 1',220 lbs,R,R,94,Boston Red Sox,BOS,2009,2005-2014,ME,84197,Diamond,Live Collection Reward - Historical All-Star  1B Kevin Youkilis  BOS  2009,0,N,0,96,96,99,132,70,135,93,87,151,58,88,98,106,126,74,5,5,Normal,Pull,Pull,1,1,1,4,1,1,1,4,1,1,1,4,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,92-94,3/4,Normal,1,10,-,-,-,73,75,84,39,48,60,56,-,-,86,-,77,-,53,-,-,128,-,86,-,77,-,53,-,-,39,23,63,47,4,4,16,15,3,2,1,0,0,0,2,1,0,0,0,0,0,3,0,1.1,-0.14,0,-0.9,-0.0,3.69,0,0,0.0,0.4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,4,4,40,6,33,1,4,0,10.32,-0.1,.947,0,0,34.0,0,0,7,6,1,1,1,1,0,0,0,0,0.0,0.0
1B,Kevin Youkilis,Kevin,Youkilis,Starfleet RedshirtsPCK,6' 1',220 lbs,R,R,94,Boston Red Sox,BOS,2009,2005-2014,ME,84197,Diamond,Live Collection Reward - Historical All-Star  1B Kevin Youkilis  BOS  2009,0,N,0,96,96,99,132,70,135,93,87,151,58,88,98,106,126,74,5,5,Normal,Pull,Pull,1,1,1,4,1,1,1,4,1,1,1,4,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,92-94,3/4,Normal,1,10,-,-,-,73,75,84,39,48,60,56,-,-,86,-,77,-,53,-,-,128,-,86,-,77,-,53,-,-,39,23,63,47,6,2,10,10,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.0,-0.27,0,-1.4,-0.1,4.30,0,0,0.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,4,2,5,4,1,0,0,0,3.21,-0.0,1.080,0,0,14.0,0,0,4,4,1,0,0,0,0,0,0,0,0.0,0.0
1B,Kevin Youkilis,Kevin,Youkilis,Herky Hyenas,6' 1',220 lbs,R,R,94,Boston Red Sox,BOS,2009,2005-2014,ME,84197,Diamond,Live Collection Reward - Historical All-Star  1B Kevin Youkilis  BOS  2009,0,N,0,96,96,99,132,70,135,93,87,151,58,88,98,106,126,74,5,5,Normal,Pull,Pull,1,1,1,4,1,1,1,4,1,1,1,4,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,92-94,3/4,Normal,1,10,-,-,-,73,75,84,39,48,60,56,-,-,86,-,77,-,53,-,-,128,-,86,-,77,-,53,-,-,39,23,63,47,5,5,21,19,10,9,0,0,1,1,2,2,0,0,0,0,0,4,0,7.7,0.23,6,4.0,0.5,4.38,0,0,0.0,-0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,5,5,37,5,32,0,0,0,7.40,0.8,1.082,0,0,45.0,0,0,7,7,2,2,0,0,0,0,1,1,0.0,0.0
1B,Kevin Youkilis,Kevin,Youkilis,Mammoth Moguls,6' 1',220 lbs,R,R,94,Boston Red Sox,BOS,2009,2005-2014,ME,84197,Diamond,Live Collection Reward - Historical All-Star  1B Kevin Youkilis  BOS  2009,0,N,0,96,96,99,132,70,135,93,87,151,58,88,98,106,126,74,5,5,Normal,Pull,Pull,1,1,1,4,1,1,1,4,1,1,1,4,16,-,-,-,-,-,-,-,-,-,-,-,1,NEU,92-94,3/4,Normal,1,10,-,-,-,73,75,84,39,48,60,56,-,-,86,-,77,-,53,-,-,128,-,86,-,77,-,53,-,-,39,23,63,47,6,2,12,10,2,1,0,0,1,2,2,2,0,0,0,0,0,6,0,1.8,-0.23,1,0.6,0.2,4.75,0,0,0.0,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.0,0.0,0.0,0.00,5,2,8,2,6,0,0,0,3.32,0.7,1.071,0,0,21.2,0,0,4,4,2,2,1,1,0,0,0,0,0.0,-0.2
