POS,Name,First Name,Last Name,ORG,HT,WT,B,T,VAL,CTM,CFR,CYear,CEra,ST,CID,Tier,Title,L10,VAR,VLvl,BABIP,GAP,POW,EYE,K's,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,BUN,BFH,BBT,GBT,FBT,STU,CON,PBABIP,HRA,STU vL,CON vL,PBABIP vL,HRA vL,STU vR,CON vR,PBABIP vR,HRA vR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,G,GS,PA,AB,H,1B_1,2B_1,3B_1,HR,RBI,R,BB,IBB,HP,SH,SF,CI,K,GIDP,RC,WPA,wRC,wRAA,WAR,PI/PA,SB,CS,wSB,UBR,G_1,GS_1,W,L,HLD_1,SD,MD,IP,BF,AB_1,1B_2,2B_2,3B_2,HR_1,R_1,ER,BB_1,IBB_1,K_1,HP_1,SH_1,SF_1,WP,BK,CI_1,DP,GF,IR,IRS,pLi,PI,GB,FB_1,SB_1,CS_1,WPA_1,WAR_1,rWAR,SIERA,G_2,GS_2,TC,A,PO,E,DP_1,TP,RNG,ZR,EFF,SBA,RTO,IP_1,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,FRM,ARM
SP,Dan Bankhead,Dan,Bankhead,Lawrence Lions,6' 1',185 lbs,R,R,74,Memphis Red Sox,MRS,1946,1946-1960,,84884,Silver,Celebrating 42 - Negro League Star  SP Dan Bankhead  MRS  1946,0,N,0,75,70,69,64,35,75,70,70,64,36,75,70,69,64,35,37,17,Normal,Spray,Spray,116,58,72,110,109,57,72,105,122,59,73,114,100,120,123,100,-,-,-,-,-,-,-,-,4,NEU,90-92,3/4,Normal,74,60,1,1,1,29,46,33,23,72,59,59,80,-,-,-,-,-,-,-,-,80,-,-,-,-,-,-,-,-,35,3,11,28,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.04,0,0.5,0.1,4.00,0,0,0.0,0.0,1,1,0,1,0,0,0,2.2,15,12,4,1,1,0,7,7,1,0,1,0,1,1,1,0,0,0,0,0,0,0.92,54,2,5,0,0,-0.4,0.1,-0.4,5.85,1,1,0,0,0,0,0,0,0.00,0.0,.000,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Dave Barnhill,Dave,Barnhill,Maple Madness,5' 6',170 lbs,S,R,99,New York Cubans,NYC,1941,1921-1945,CS,85890,Diamond,Clubhouse - Negro League Star  SP Dave Barnhill  NYC  1941,0,N,0,109,74,1,101,81,105,71,1,104,84,111,75,1,100,80,75,44,Groundball,Normal,Pull,122,119,119,74,120,117,123,68,124,122,116,77,101,109,117,96,-,-,115,-,-,-,-,-,5,NEU,90-92,3/4,Normal,98,60,1,1,1,29,32,29,25,1,8,1,71,-,31,-,-,-,-,-,-,71,-,31,-,-,-,-,-,-,40,4,6,51,6,6,17,13,2,1,0,1,0,1,3,1,0,0,2,1,0,0,0,1.0,-0.23,0,-1.5,-0.1,3.65,0,0,0.0,0.3,6,6,2,1,0,0,0,36.1,155,143,20,7,2,8,24,24,9,0,31,1,2,0,0,0,0,1,0,0,0,0.89,588,38,39,1,0,-0.4,0.1,-0.1,3.72,6,6,6,2,4,0,0,0,1.49,-0.5,.781,1,0,36.1,0,0,3,2,1,1,0,0,0,0,0,0,0.1,0.0
SP,Dave Barnhill,Dave,Barnhill,Dry Creek Craw Daddies,5' 6',170 lbs,S,R,99,New York Cubans,NYC,1941,1921-1945,CS,85890,Diamond,Clubhouse - Negro League Star  SP Dave Barnhill  NYC  1941,0,N,0,109,74,1,101,81,105,71,1,104,84,111,75,1,100,80,75,44,Groundball,Normal,Pull,122,119,119,74,120,117,123,68,124,122,116,77,101,109,117,96,-,-,115,-,-,-,-,-,5,NEU,90-92,3/4,Normal,98,60,1,1,1,29,32,29,25,1,8,1,71,-,31,-,-,-,-,-,-,71,-,31,-,-,-,-,-,-,40,4,6,51,2,2,5,4,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0.5,0.01,0,0.1,0.0,4.20,0,0,0.0,0.2,2,2,0,2,0,0,0,13.2,63,58,11,2,1,3,10,8,3,0,10,1,0,1,0,0,0,1,0,0,0,0.94,246,10,20,1,0,-0.4,-0.0,-0.1,4.10,2,2,2,2,0,0,0,0,1.32,-0.1,1.041,1,0,13.2,0,0,2,2,0,0,0,0,0,0,0,0,0.0,0.0
SP,Dave Barnhill,Dave,Barnhill,Chico Heat BFF,5' 6',170 lbs,S,R,99,New York Cubans,NYC,1941,1921-1945,CS,85890,Diamond,Clubhouse - Negro League Star  SP Dave Barnhill  NYC  1941,0,N,0,109,74,1,101,81,105,71,1,104,84,111,75,1,100,80,75,44,Groundball,Normal,Pull,122,119,119,74,120,117,123,68,124,122,116,77,101,109,117,96,-,-,115,-,-,-,-,-,5,NEU,90-92,3/4,Normal,98,60,1,1,1,29,32,29,25,1,8,1,71,-,31,-,-,-,-,-,-,71,-,31,-,-,-,-,-,-,40,4,6,51,4,4,15,12,2,1,1,0,0,1,2,1,0,0,2,0,0,2,0,0.9,-0.10,0,-1.3,-0.0,3.07,0,0,0.0,0.3,4,4,3,1,0,0,0,37.0,139,131,15,3,0,3,7,4,8,0,20,0,0,0,0,0,0,3,0,0,0,1.06,493,35,53,0,0,0.9,0.7,2.0,4.50,4,4,6,2,4,0,0,0,1.46,0.5,1.561,0,0,37.0,0,0,6,6,0,0,0,0,0,0,0,0,0.0,0.0
SP,Dave Barnhill,Dave,Barnhill,New England Bees,5' 6',170 lbs,S,R,99,New York Cubans,NYC,1941,1921-1945,CS,85890,Diamond,Clubhouse - Negro League Star  SP Dave Barnhill  NYC  1941,0,N,0,109,74,1,101,81,105,71,1,104,84,111,75,1,100,80,75,44,Groundball,Normal,Pull,122,119,119,74,120,117,123,68,124,122,116,77,101,109,117,96,-,-,115,-,-,-,-,-,5,NEU,90-92,3/4,Normal,98,60,1,1,1,29,32,29,25,1,8,1,71,-,31,-,-,-,-,-,-,71,-,31,-,-,-,-,-,-,40,4,6,51,2,2,7,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,-0.11,0,-1.7,-0.1,3.14,0,0,0.0,0.0,2,2,1,0,0,0,0,18.0,78,72,10,3,0,2,9,6,5,1,15,1,0,0,2,0,0,0,0,0,0,1.09,275,13,26,0,0,0.0,0.4,0.2,3.75,2,2,1,0,1,0,0,0,0.50,0.0,.000,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
SP,William Bell,William,Bell,Jacksonville Rainstorm,5' 7',170 lbs,R,R,78,Newark Eagles,NeEa,1937,1921-1945,,84466,Silver,Negro League Star  SP William Bell  NeEa  1937,0,N,0,56,58,2,61,41,58,60,2,62,43,56,58,2,61,41,54,19,Normal,Spray,Spray,57,110,76,91,54,107,72,86,60,113,79,94,56,-,73,61,76,-,-,-,-,-,-,-,4,NEU,89-91,3/4,Normal,66,60,53,53,53,29,37,30,25,72,59,59,76,45,-,-,-,-,79,57,72,76,45,-,-,-,-,79,57,72,8,4,6,28,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.00,0,-0.2,-0.0,5.00,0,0,0.0,0.0,1,0,0,0,0,0,0,2.1,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.11,20,2,4,0,0,0.0,0.1,0.1,3.45,1,0,0,0,0,0,0,0,0.00,0.0,.000,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Ray Benge,Ray,Benge,STMDB EXPOS,5' 9',160 lbs,R,R,85,Philadelphia Phillies,PHI,1931,1921-1945,,83287,Gold,Snapshot  SP Ray Benge  PHI  1931,0,N,0,20,38,4,22,28,23,32,4,32,36,19,41,4,19,24,68,12,Normal,Normal,Normal,87,86,80,74,83,76,82,69,91,95,78,77,74,89,60,-,-,-,-,-,-,111,98,-,5,EX FB,90-92,SIDE,Normal,77,41,-,-,-,27,22,24,23,4,1,8,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,5,5,6,5,1,1,2,2,1,0,0,0,1,3,1,0,0,0,0,0,0,1,0,2.0,0.26,1,1.2,0.2,5.50,0,0,0.0,0.0,1,1,0,1,0,0,0,6.2,31,27,7,0,1,1,7,7,2,0,5,0,1,1,0,0,0,0,0,0,0,0.90,102,7,8,0,0,-0.4,0.1,-0.2,4.35,1,1,3,3,0,0,0,0,4.05,0.2,1.041,0,0,6.2,0,0,2,2,0,0,1,1,0,0,0,0,0.0,0.0
SP,Ray Benge,Ray,Benge,Syracuse ShortBus,5' 9',160 lbs,R,R,85,Philadelphia Phillies,PHI,1931,1921-1945,,83287,Gold,Snapshot  SP Ray Benge  PHI  1931,0,N,0,20,38,4,22,28,23,32,4,32,36,19,41,4,19,24,68,12,Normal,Normal,Normal,87,86,80,74,83,76,82,69,91,95,78,77,74,89,60,-,-,-,-,-,-,111,98,-,5,EX FB,90-92,SIDE,Normal,77,41,-,-,-,27,22,24,23,4,1,8,57,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,5,5,6,5,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,-0.15,0,-0.7,-0.1,3.00,0,0,0.0,0.0,1,1,0,1,0,0,0,8.0,34,29,6,1,0,0,4,3,4,0,1,0,1,0,0,0,0,1,0,0,0,1.03,120,8,13,1,0,-0.1,0.1,0.1,7.17,1,1,2,1,1,0,0,0,2.25,-0.2,1.041,1,0,8.0,0,0,1,1,0,0,0,0,0,0,0,0,-0.1,0.0
SP,Tiny Bonham,Tiny,Bonham,Alexandria SafeZone,6' 2',215 lbs,R,R,82,New York Yankees,NYA,1942,1921-1945,BBR,85428,Gold,Baseball Reference 2  SP Tiny Bonham  NYY  1942,0,N,0,8,17,2,28,15,8,10,2,16,12,8,20,3,31,16,81,46,Normal,Normal,Normal,63,173,114,69,70,169,114,60,55,176,115,75,77,72,-,-,-,-,-,83,-,-,-,-,3,EX FB,89-91,3/4,Finesse,90,88,-,-,-,24,30,25,23,6,10,2,61,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,5,3,6,6,4,4,13,11,1,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0.2,-0.26,0,-2.1,-0.3,3.46,0,0,0.0,-0.7,4,4,1,2,0,0,0,31.1,136,127,21,5,1,8,23,17,8,0,10,1,0,0,2,0,0,3,0,0,0,0.86,472,36,43,0,1,-1.1,-0.4,-0.3,5.67,4,4,2,0,1,1,0,0,0.29,-0.2,.000,1,1,31.1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Tiny Bonham,Tiny,Bonham,Hopkins Hoppers,6' 2',215 lbs,R,R,82,New York Yankees,NYA,1942,1921-1945,BBR,85428,Gold,Baseball Reference 2  SP Tiny Bonham  NYY  1942,0,N,0,8,17,2,28,15,8,10,2,16,12,8,20,3,31,16,81,46,Normal,Normal,Normal,63,173,114,69,70,169,114,60,55,176,115,75,77,72,-,-,-,-,-,83,-,-,-,-,3,EX FB,89-91,3/4,Finesse,90,88,-,-,-,24,30,25,23,6,10,2,61,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,5,3,6,6,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.05,0,0.5,0.1,4.50,0,0,0.0,0.0,1,1,0,1,0,0,0,6.1,29,26,2,5,0,1,5,5,1,0,3,0,0,2,0,0,0,0,0,0,0,1.22,101,7,9,0,0,-0.3,0.0,-0.1,4.90,1,1,2,0,2,0,0,0,2.84,0.0,.000,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
