Rank,Name,Pos,Tier,BA,OBP,SLG,OPS,wOBA,K%,BB%,WAR/600,BestDefPos,Lock
1,Yoenis Cespedes,LF,Diamond,0.421,0.473,0.729,1.203,0.511,0.135,0.085,8.7,CF,
2,John Beckwith,SS,Diamond,0.422,0.493,0.686,1.179,0.503,0.118,0.117,8.49,SS,Y
3,Tyler O'Neill,LF,Diamond,0.411,0.474,0.69,1.165,0.497,0.153,0.102,8.48,CF,Y
4,Xander Bogaerts,SS,Diamond,0.419,0.493,0.683,1.176,0.502,0.119,0.119,8.36,SS,
5,Yoenis Cespedes,LF,Diamond,0.414,0.465,0.706,1.172,0.499,0.145,0.08,8.12,CF,Y
6,Buster Posey,C,Diamond,0.418,0.489,0.627,1.116,0.481,0.102,0.115,8.09,C,
7,Ray Dandridge,3B,Gold,0.422,0.48,0.654,1.133,0.487,0.107,0.093,8.04,SS,Y
8,Yu Chang,SS,Gold,0.411,0.479,0.672,1.151,0.492,0.141,0.108,8.01,SS,Y
9,Ray Chapman,SS,Diamond,0.398,0.479,0.62,1.1,0.473,0.125,0.127,7.99,SS,
10,Trea Turner,SS,Diamond,0.382,0.455,0.668,1.123,0.479,0.124,0.112,7.83,SS,
11,Nap Lajoie,2B,Diamond,0.416,0.481,0.651,1.133,0.486,0.095,0.105,7.81,2B,
12,Jason Kendall,C,Diamond,0.418,0.486,0.651,1.137,0.489,0.107,0.111,7.55,C,
13,Wilson Redus,LF,Diamond,0.418,0.474,0.719,1.192,0.508,0.122,0.089,7.52,CF,Y
14,Jimmy Ryan,CF,Diamond,0.394,0.467,0.676,1.143,0.487,0.126,0.113,7.48,CF,
15,Larry Doby,2B,Diamond,0.406,0.479,0.691,1.171,0.498,0.151,0.116,7.47,2B,Y
16,Elly De La Cruz,SS,Diamond,0.392,0.464,0.645,1.11,0.476,0.159,0.112,7.42,SS,
17,Home Run Baker,3B,Diamond,0.404,0.46,0.709,1.169,0.497,0.098,0.088,7.27,3B,
18,Beals Becker,LF,Diamond,0.417,0.478,0.672,1.15,0.493,0.13,0.099,7.23,CF,
19,Tom Young,C,Diamond,0.393,0.465,0.668,1.134,0.484,0.13,0.113,7.19,C,Y
20,Ken Henderson,LF,Gold,0.389,0.473,0.643,1.116,0.478,0.131,0.13,6.99,CF,
21,Elston Howard,C,Diamond,0.419,0.473,0.681,1.154,0.494,0.136,0.087,6.94,C,
22,Jim Brown,C,Diamond,0.363,0.449,0.629,1.078,0.461,0.136,0.127,6.85,C,Y
23,Sal Stewart,3B,Diamond,0.398,0.478,0.673,1.151,0.491,0.121,0.127,6.75,SS,
24,Carlos Correa,SS,Diamond,0.375,0.455,0.632,1.088,0.466,0.133,0.122,6.7,SS,
25,Duke Snider,CF,Silver,0.37,0.439,0.624,1.063,0.456,0.187,0.102,6.67,CF,
26,Nellie Fox,2B,Diamond,0.399,0.47,0.599,1.069,0.462,0.081,0.112,6.65,2B,Y
27,Hurley McNair,CF,Silver,0.412,0.474,0.615,1.088,0.47,0.124,0.098,6.62,CF,Y
28,Jeff Blauser,SS,Gold,0.393,0.477,0.619,1.096,0.472,0.153,0.132,6.55,SS,Y
