Rank,Name,Pos,Tier,FIP,K/9,BB/9,HR/9,wOBA-against,WAR/180,STM,Lock
1,Steve Carlton,SP,Diamond,1.446,13.61,2.33,0.323,0.179,5.4,86,Y
2,Shane Bieber,SP,Diamond,1.535,13.718,2.24,0.424,0.179,5.33,75,
3,Tony Fossas,RP,Diamond,1.579,12.453,1.802,0.356,0.191,5.24,13,
4,Dwight Gooden,SP,Diamond,1.585,13.496,2.477,0.357,0.263,5.23,80,
5,Alex Vesia,RP,Diamond,1.636,12.965,2.438,0.326,0.181,5.13,14,
6,Jose Alvarado,RP,Diamond,1.654,13.202,2.86,0.282,0.184,5.09,16,
7,Edwin Diaz,CL,Gold,1.658,13.763,2.358,0.486,0.198,5.08,15,Y
8,Jonathan Broxton,RP,Gold,1.66,13.403,2.481,0.405,0.19,5.08,19,
9,Noah Schultz,SP,Diamond,1.67,12.654,2.313,0.328,0.19,5.06,56,
10,Devin Williams,CL,Diamond,1.676,13.236,2.356,0.417,0.187,5.05,14,Y
11,Joe Grzenda,RP,Diamond,1.706,11.953,2.076,0.31,0.182,4.99,62,
12,Cade Smith,CL,Diamond,1.723,12.794,2.2,0.414,0.2,4.95,16,Y
13,Bill Hallahan,SP,Diamond,1.762,13.085,2.746,0.361,0.197,4.88,72,
14,Mark Eichhorn,RP,Diamond,1.769,12.433,2.15,0.403,0.189,4.86,24,
15,Dan Bankhead,SP,Silver,1.781,13.096,2.726,0.382,0.207,4.84,74,Y
16,Andres Munoz,CL,Gold,1.795,12.957,2.349,0.454,0.194,4.81,15,Y
17,Andres Munoz,CL,Gold,1.795,12.957,2.349,0.454,0.194,4.81,15,
18,Lefty Gomez,SP,Diamond,1.817,12.776,2.738,0.359,0.195,4.77,93,
19,Jose Leclerc,RP,Diamond,1.826,13.32,3.452,0.28,0.19,4.75,12,
20,Bryan Abreu,RP,Gold,1.824,13.448,2.593,0.494,0.205,4.75,16,Y
21,Carlos Lagrange,CL,Gold,1.842,13.502,3.237,0.37,0.192,4.72,40,
22,Jeremiah Estrada,RP,Gold,1.85,13.182,2.437,0.512,0.202,4.7,15,Y
23,Pedro Borbon,RP,Diamond,1.865,11.46,2.082,0.34,0.19,4.67,16,
24,Tyler Clippard,RP,Gold,1.87,12.494,2.612,0.376,0.188,4.66,17,
25,Satchel Paige,RP,Bronze,1.876,12.684,2.577,0.418,0.213,4.65,57,Y
26,Fernando Cruz,RP,Silver,1.9,13.446,2.664,0.529,0.211,4.6,15,Y
27,Sonny Siebert,SP,Diamond,1.918,12.284,2.312,0.45,0.21,4.56,76,Y
28,Neal Cotts,RP,Diamond,1.922,11.771,2.482,0.33,0.188,4.56,17,
29,Jacob Misiorowski,SP,Diamond,1.928,12.876,2.434,0.524,0.201,4.54,58,
30,Craig Kimbrel,RP,Silver,1.934,13.243,2.706,0.518,0.202,4.53,14,Y
31,Bob Friend,SP,Diamond,1.942,10.967,1.672,0.409,0.212,4.52,73,
32,Tom Gordon,CL,Diamond,1.942,11.615,2.514,0.318,0.189,4.52,18,
33,Didier Fuentes,SP,Silver,1.938,12.558,2.19,0.53,0.222,4.52,58,
34,Greg Harris,RP,Silver,1.948,12.778,2.647,0.466,0.192,4.5,24,
35,River Ryan,SP,Gold,1.954,12.372,2.502,0.444,0.199,4.49,58,
36,Sam Streeter,SP,Diamond,1.962,11.557,1.938,0.453,0.192,4.48,74,Y
37,Hod Eller,SP,Gold,1.967,12.267,2.013,0.548,0.208,4.47,76,Y
38,Garrett Cleavinger,RP,Gold,1.965,12.439,2.276,0.52,0.198,4.47,14,
39,Joakim Soria,CL,Silver,1.967,12.498,2.397,0.486,0.268,4.47,13,
40,Dave Brown,SP,Gold,1.97,12.084,2.262,0.466,0.204,4.46,83,Y
41,Matt Brash,RP,Gold,1.975,11.983,2.423,0.418,0.207,4.45,20,Y
42,Jose Mendez,SP,Diamond,1.98,11.791,2.304,0.418,0.191,4.44,70,Y
43,Luis Tiant,SP,Diamond,1.979,11.843,2.115,0.471,0.196,4.44,71,Y
44,Dan Haren,SP,Diamond,1.988,11.876,1.935,0.524,0.195,4.42,73,
45,Alex Vesia,RP,Gold,1.99,12.522,2.375,0.527,0.193,4.42,14,Y
46,Jim Brewer,CL,Silver,1.998,11.905,2.034,0.51,0.191,4.4,24,Y
47,Cole Ragans,SP,Diamond,2.026,12.677,2.444,0.55,0.209,4.35,70,
48,Dylan Cease,SP,Diamond,2.024,12.29,2.453,0.487,0.212,4.35,66,Y
49,David Wells,SP,Diamond,2.031,11.433,1.852,0.495,0.266,4.34,85,
50,David Bednar,CL,Gold,2.031,12.185,2.262,0.518,0.211,4.34,16,Y
51,George Klassen,SP,Silver,2.037,12.292,2.516,0.486,0.216,4.33,71,
52,John Habyan,RP,Diamond,2.045,10.943,2.089,0.378,0.205,4.31,22,
53,Satchel Paige,SP,Gold,2.047,11.828,2.005,0.54,0.193,4.31,71,Y
54,Roberto Hernandez,CL,Gold,2.044,12.004,2.333,0.487,0.194,4.31,24,Y
55,Barney Morris,SP,Diamond,2.05,11.704,2.16,0.485,0.206,4.3,73,Y
56,Don Newcombe,SP,Diamond,2.05,11.012,2.088,0.396,0.191,4.3,73,Y
57,Elmer Rodriguez,SP,Gold,2.052,11.589,2.621,0.364,0.195,4.3,66,
58,Clay Bryant,RP,Bronze,2.057,12.47,2.708,0.482,0.229,4.29,24,Y
59,Chris Hammond,RP,Gold,2.063,10.996,2.493,0.31,0.192,4.27,20,
60,Mel Rojas,RP,Gold,2.074,11.632,2.338,0.449,0.199,4.25,20,Y
61,Reed Garrett,RP,Iron,2.074,13.152,3.295,0.458,0.242,4.25,25,Y
62,Kazuhiro Sasaki,CL,Diamond,2.079,10.953,1.77,0.486,0.191,4.24,17,Y
63,Seth Morehead,RP,Silver,2.082,10.844,2.34,0.33,0.221,4.24,24,Y
64,Hoyt Wilhelm,RP,Diamond,2.085,11.655,2.333,0.465,0.193,4.23,53,Y
65,Spencer Strider,SP,Diamond,2.088,12.166,2.286,0.552,0.212,4.22,55,Y
66,Gregory Soto,RP,Silver,2.101,11.734,2.496,0.443,0.212,4.2,13,Y
67,Jose Alvarado,RP,Silver,2.105,11.804,2.478,0.464,0.216,4.19,14,Y
68,Jose Alvarado,RP,Silver,2.105,11.804,2.478,0.464,0.216,4.19,14,
69,Garrett Whitlock,RP,Gold,2.11,11.644,2.122,0.528,0.21,4.18,22,Y
70,Jeff Hoffman,CL,Silver,2.118,12.39,2.379,0.589,0.211,4.16,15,Y
71,Tony Watson,RP,Gold,2.126,10.345,2.204,0.32,0.192,4.15,11,
72,Hunter Brown,SP,Diamond,2.133,11.364,2.316,0.456,0.202,4.13,66,
73,Robert Suarez,CL,Gold,2.137,11.268,2.098,0.493,0.198,4.13,15,Y
74,Madison Bumgarner,SP,Gold,2.138,11.026,1.917,0.505,0.203,4.12,93,
75,Dick Radatz,CL,Silver,2.141,12.884,2.749,0.592,0.217,4.12,24,Y
76,Hunter Harvey,RP,Gold,2.146,11.266,2.057,0.513,0.206,4.11,16,Y
77,Edwin Uceta,RP,Silver,2.152,12.003,2.333,0.562,0.207,4.1,22,
78,Gabe Speier,RP,Silver,2.156,11.619,2.181,0.546,0.209,4.09,13,Y
79,Camilo Doval,CL,Silver,2.169,11.786,2.519,0.496,0.209,4.06,15,Y
80,Oliver Perez,SP,Silver,2.179,12.734,2.78,0.59,0.214,4.04,76,Y
81,Aaron Ashby,RP,Silver,2.178,11.874,2.727,0.468,0.222,4.04,26,Y
82,Tanner Scott,CL,Silver,2.186,11.53,2.298,0.514,0.204,4.03,15,
83,Tanner Scott,CL,Silver,2.186,11.53,2.298,0.514,0.204,4.03,15,
84,Tanner Scott,CL,Silver,2.186,11.53,2.298,0.514,0.204,4.03,15,
85,Tanner Scott,CL,Silver,2.186,11.53,2.298,0.514,0.204,4.03,15,
86,Tanner Scott,CL,Silver,2.186,11.53,2.298,0.514,0.204,4.03,15,Y
87,Ryan Walker,CL,Silver,2.184,11.274,2.267,0.485,0.215,4.03,16,
88,Cristopher Sanchez,SP,Diamond,2.197,11.045,2.072,0.505,0.221,4.01,73,
89,Rhett Lowder,SP,Gold,2.194,11.106,2.052,0.516,0.218,4.01,75,
90,Orion Kerkering,RP,Gold,2.196,11.41,2.306,0.505,0.212,4.01,15,Y
91,Barney Brown,SP,Diamond,2.198,11.0,2.147,0.479,0.217,4.0,66,Y
92,Ron Reed,CL,Gold,2.203,11.517,2.025,0.596,0.219,3.99,24,Y
93,Max Fried,SP,Diamond,2.21,10.385,2.118,0.408,0.195,3.98,74,Y
94,Cam Schlittler,SP,Diamond,2.21,11.118,2.219,0.494,0.205,3.98,66,Y
95,Teddy Higuera,SP,Gold,2.214,11.517,2.267,0.547,0.199,3.97,82,
96,Walter Johnson,SP,Gold,2.213,11.497,2.13,0.574,0.218,3.97,97,Y
97,Lou Brissie,SP,Silver,2.217,12.255,2.855,0.518,0.247,3.97,65,Y
98,Nolan McLean,SP,Gold,2.221,11.497,2.374,0.523,0.208,3.96,63,
99,Robert Garcia,CL,Silver,2.222,11.367,2.395,0.501,0.212,3.96,14,Y
100,Will Klein,RP,Bronze,2.218,11.867,2.792,0.48,0.22,3.96,19,Y
101,Will Klein,RP,Bronze,2.218,11.867,2.792,0.48,0.22,3.96,19,
102,Logan Webb,SP,Diamond,2.225,10.681,2.074,0.474,0.225,3.95,81,Y
103,Porter Hodge,RP,Silver,2.226,11.803,2.607,0.522,0.209,3.95,30,Y
104,Erik Miller,RP,Bronze,2.224,11.646,2.794,0.448,0.218,3.95,21,Y
105,Jack Lynch,SP,Diamond,2.228,10.547,1.679,0.541,0.207,3.94,97,Y
106,Raisel Iglesias,CL,Gold,2.23,11.12,2.01,0.562,0.203,3.94,15,Y
107,Raisel Iglesias,CL,Gold,2.23,11.12,2.01,0.562,0.203,3.94,15,
108,Raisel Iglesias,CL,Gold,2.23,11.12,2.01,0.562,0.203,3.94,15,
109,Will Vest,CL,Silver,2.232,11.109,2.272,0.493,0.216,3.94,15,
110,Will Vest,CL,Silver,2.232,11.109,2.272,0.493,0.216,3.94,15,Y
111,Jose A. Ferrer,CL,Silver,2.228,10.723,2.22,0.442,0.227,3.94,16,Y
112,Robert Stephenson,RP,Silver,2.232,12.059,2.342,0.627,0.202,3.94,16,
113,Brooks Raley,RP,Silver,2.237,10.942,2.26,0.47,0.203,3.93,13,
114,Brooks Raley,RP,Silver,2.237,10.942,2.26,0.47,0.203,3.93,13,
115,Brooks Raley,RP,Silver,2.237,10.942,2.26,0.47,0.203,3.93,13,Y
116,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
117,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
118,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
119,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
120,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
121,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
122,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
123,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
124,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
125,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
126,Riley O'Brien,CL,Silver,2.238,11.24,2.472,0.472,0.213,3.92,25,
127,Hal McKain,RP,Iron,2.24,12.538,3.033,0.537,0.261,3.92,25,Y
128,Jason Isringhausen,CL,Gold,2.245,10.857,2.306,0.456,0.198,3.91,17,
129,Dylan Lee,RP,Silver,2.252,11.362,2.086,0.592,0.203,3.9,17,Y
130,MacKenzie Gore,SP,Gold,2.26,11.873,2.424,0.591,0.22,3.88,63,
131,Kevin Ginkel,RP,Silver,2.258,11.257,2.391,0.505,0.22,3.88,15,Y
132,Roger Wolff,SP,Diamond,2.264,10.524,1.949,0.5,0.213,3.87,99,
133,Brandon Sproat,SP,Gold,2.267,11.101,2.243,0.525,0.2,3.87,61,
134,Adrian Morejon,RP,Silver,2.263,10.854,2.276,0.472,0.216,3.87,17,Y
135,Adrian Morejon,RP,Silver,2.263,10.854,2.276,0.472,0.216,3.87,17,
136,Adrian Morejon,RP,Silver,2.263,10.854,2.276,0.472,0.216,3.87,17,
137,Daniel Palencia,CL,Silver,2.267,11.381,2.448,0.517,0.209,3.87,22,Y
138,Andrew Nardi,RP,Bronze,2.265,12.04,2.564,0.594,0.221,3.87,14,Y
139,Jimmy Key,SP,Diamond,2.272,10.63,1.668,0.587,0.208,3.86,87,
140,Ed Walsh,SP,Gold,2.271,11.624,2.282,0.598,0.225,3.86,80,Y
141,Paul Shuey,RP,Iron,2.27,12.472,2.637,0.642,0.221,3.86,19,
142,Red Faber,SP,Diamond,2.274,10.242,1.874,0.483,0.204,3.85,104,
143,Zack Wheeler,SP,Diamond,2.274,10.902,2.139,0.524,0.206,3.85,77,
144,Jacob deGrom,SP,Diamond,2.278,11.112,2.008,0.587,0.2,3.84,60,
145,Johnny Klippstein,RP,Silver,2.281,11.158,2.818,0.404,0.221,3.84,25,Y
146,Tyler Kinley,RP,Silver,2.279,11.386,2.466,0.525,0.205,3.84,14,Y
147,Evan Sisk,RP,Bronze,2.282,11.222,2.515,0.49,0.224,3.84,16,Y
148,Graham Ashcraft,RP,Gold,2.286,10.864,2.42,0.454,0.224,3.83,32,Y
149,Tim Herrin,RP,Bronze,2.285,11.098,2.544,0.463,0.21,3.83,15,Y
150,Kyle Bradish,SP,Gold,2.292,11.216,2.364,0.529,0.22,3.82,60,Y
151,Tommy Thomas,SP,Silver,2.288,12.124,2.827,0.558,0.22,3.82,70,Y
152,Mason Montgomery,RP,Silver,2.292,11.637,2.468,0.568,0.228,3.82,25,Y
153,Jack Perkins,RP,Silver,2.296,11.406,2.44,0.547,0.216,3.81,37,Y
154,A.J. Minter,RP,Silver,2.295,11.342,2.271,0.576,0.215,3.81,13,Y
155,Eddie Watt,RP,Silver,2.296,11.417,2.63,0.503,0.202,3.81,25,Y
156,Trevor May,SP,Bronze,2.294,12.238,2.562,0.636,0.269,3.81,44,
157,Reid Detmers,SP,Gold,2.298,11.405,2.231,0.596,0.219,3.8,63,
158,Matt Strahm,CL,Gold,2.302,11.051,2.179,0.556,0.205,3.8,17,
159,Jason Adam,RP,Silver,2.302,10.853,2.324,0.493,0.2,3.8,15,Y
160,Mick Abel,SP,Silver,2.302,11.567,2.544,0.549,0.224,3.8,60,Y
161,Joe Boyle,SP,Silver,2.302,11.64,2.669,0.534,0.21,3.8,56,Y
162,Louie Varland,RP,Gold,2.304,11.011,2.127,0.556,0.222,3.79,32,Y
163,Jose Soriano,SP,Gold,2.304,10.9,2.475,0.462,0.208,3.79,61,Y
164,Jake Bird,RP,Bronze,2.303,11.505,2.454,0.562,0.227,3.79,19,Y
165,Bryan Hudson,RP,Bronze,2.304,11.345,2.497,0.524,0.217,3.79,20,Y
166,Jovani Moran,RP,Bronze,2.306,11.382,2.555,0.52,0.212,3.79,24,Y
167,Eduard Bazardo,RP,Gold,2.312,10.688,2.264,0.485,0.204,3.78,18,
168,Eduard Bazardo,RP,Gold,2.312,10.688,2.264,0.485,0.204,3.78,18,Y
169,Ian Hamilton,RP,Silver,2.308,11.23,2.484,0.513,0.217,3.78,19,Y
170,Erik Sabrowski,RP,Iron,2.312,12.414,2.994,0.581,0.216,3.78,20,Y
171,Bradgley Rodriguez,RP,Silver,2.314,11.21,2.424,0.527,0.22,3.77,19,Y
172,Andrew Walters,RP,Bronze,2.317,11.877,2.705,0.572,0.214,3.77,15,Y
173,Brock Stewart,RP,Bronze,2.322,11.482,2.436,0.572,0.216,3.76,15,Y
174,Yohan Ramirez,RP,Bronze,2.322,11.277,2.493,0.533,0.214,3.76,20,Y
175,Alex Lange,RP,Iron,2.322,11.845,2.972,0.505,0.224,3.76,15,Y
176,Logan Gilbert,SP,Diamond,2.324,11.176,2.058,0.612,0.214,3.75,79,Y
177,Winston Santos,RP,Bronze,2.325,11.6,2.599,0.557,0.205,3.75,36,Y
178,Michael King,SP,Gold,2.33,11.172,2.388,0.544,0.206,3.74,62,Y
179,Michael King,SP,Gold,2.33,11.172,2.388,0.544,0.206,3.74,62,
180,Michael King,SP,Gold,2.33,11.172,2.388,0.544,0.206,3.74,62,
181,Kris Bubic,SP,Gold,2.331,10.913,2.37,0.511,0.216,3.74,62,Y
182,Bennett Sousa,RP,Silver,2.328,11.404,2.34,0.591,0.215,3.74,15,Y
183,Rich Garces,RP,Silver,2.333,10.884,2.113,0.565,0.21,3.73,19,Y
184,Jimmy Hill,SP,Silver,2.334,11.496,2.51,0.571,0.223,3.73,72,Y
185,Watty Clark,RP,Silver,2.335,11.54,2.379,0.605,0.23,3.73,25,Y
186,Adam Cimber,RP,Bronze,2.337,10.736,3.002,0.341,0.221,3.73,17,
187,Johnny Allen,SP,Silver,2.34,12.1,2.882,0.576,0.22,3.72,78,Y
188,Rube Walberg,SP,Gold,2.347,11.377,2.242,0.624,0.214,3.71,74,Y
189,Joe Ryan,SP,Diamond,2.352,10.89,2.005,0.602,0.205,3.7,63,Y
190,Max Manning,SP,Gold,2.352,10.951,2.36,0.53,0.215,3.7,68,Y
191,Jim Weaver,SP,Bronze,2.352,12.026,2.74,0.602,0.228,3.7,66,Y
192,Braydon Fisher,RP,Bronze,2.348,11.528,2.594,0.564,0.214,3.7,20,Y
193,Old Hoss Radbourn,SP,Gold,2.357,10.691,2.078,0.564,0.201,3.69,128,Y
194,Bryan Baker,CL,Silver,2.357,11.271,2.314,0.594,0.212,3.69,16,Y
195,Joey Cantillo,SP,Silver,2.36,11.522,2.502,0.591,0.218,3.68,58,Y
196,Lucas Erceg,CL,Bronze,2.358,10.628,2.546,0.444,0.22,3.68,15,Y
197,Andrew Chafin,RP,Iron,2.362,11.719,2.706,0.578,0.225,3.68,14,Y
198,Andy Porter,SP,Gold,2.367,11.144,2.304,0.579,0.226,3.67,71,Y
199,Phil Douglas,SP,Silver,2.365,11.046,1.951,0.651,0.228,3.67,68,Y
200,Bryan Woo,SP,Diamond,2.368,10.441,1.908,0.572,0.201,3.66,66,
