Name,POS,VAL,Hand,PA,AVG,OBP,SLG,wOBA,BBpct,SOpct,HR600,BABIP,XBHpct,3B/XBH,wSB600,UBR600,WAR600
Gus Bell,CF,70,L,418,.331,.388,.575,.420,9.1,8.1,27.3,.316,39.8,8.16,-0.7,-0.9,4.5
Dick Stuart,1B,74,R,536,.313,.383,.503,.397,10.1,18.4,24.6,.346,29.3,6.82,0.0,-4.0,3.2
Matt Carpenter,3B,74,L,3591,.287,.392,.487,.395,14.5,14.9,24.1,.294,35.5,3.57,-0.2,0.5,4.7
Jack Cust,LF,63,L,790,.269,.373,.472,.381,14.1,19.3,29.6,.279,31.7,1.75,0.0,-4.9,2.6
Duke Snider,CF,73,L,1031,.282,.352,.512,.381,9.4,14.5,29.7,.281,38.1,9.18,0.1,4.1,5.3
Dick McAuliffe,SS,68,L,2940,.272,.368,.490,.381,13.2,13.8,20.6,.278,38.2,31.15,-0.9,2.5,4.8
Mark Bellhorn,2B,64,S,629,.277,.386,.448,.380,14.6,22.4,18.1,.323,33.6,6.12,-0.2,0.1,3.9
Devon White,CF,74,S,1045,.286,.354,.491,.373,9.3,11.7,10.9,.304,38.1,51.49,-1.0,2.3,4.3
Mickey Tettleton,C,69,S,428,.255,.400,.391,.373,19.6,15.5,14.0,.266,29.8,0.00,0.0,-3.9,3.4
Darrell Porter,C,74,L,620,.273,.362,.467,.371,12.1,11.5,22.3,.270,34.5,14.00,0.3,-1.2,4.5
Joe Judge,1B,74,L,1710,.275,.361,.457,.367,11.9,10.8,9.5,.290,36.9,43.62,-0.2,1.4,3.2
Ed Morgan,RF,66,R,872,.288,.363,.450,.366,10.7,11.3,6.2,.311,33.6,43.24,-0.7,-0.9,3.2
Earl Webb,RF,72,L,3345,.286,.360,.449,.366,10.6,13.8,13.5,.308,36.1,9.18,-0.6,3.7,3.4
Wes Covington,LF,67,L,362,.314,.352,.458,.361,5.8,11.7,16.6,.328,26.7,0.00,0.0,-1.5,2.2
Steve Pearce,1B,69,R,3049,.285,.368,.424,.361,11.6,12.0,18.1,.293,23.0,5.17,0.0,-0.4,2.5
Tom Brown,CF,66,L,607,.289,.343,.460,.359,7.2,17.4,8.9,.335,35.4,35.09,-1.7,-1.3,2.9
Braden Montgomery,RF,74,S,514,.291,.343,.462,.359,7.8,10.6,23.3,.284,26.9,8.33,0.0,0.2,3.0
Rick Wilkins,C,57,L,392,.284,.355,.431,.358,9.9,12.4,16.8,.296,28.3,3.57,0.0,-4.1,3.4
Mike Piazza,C,72,R,760,.288,.354,.430,.355,9.1,9.9,15.8,.295,26.9,7.55,0.0,0.0,3.1
Jett Williams,2B,62,R,2381,.267,.359,.413,.355,12.0,13.2,9.3,.290,32.8,24.86,0.1,2.9,3.6
Jonathan Schoop,2B,67,R,2515,.298,.342,.448,.354,6.4,13.0,18.1,.313,27.3,3.17,-0.1,-2.0,3.5
Aaron Hicks,CF,63,S,403,.265,.357,.416,.354,12.9,7.8,16.4,.258,28.6,15.38,0.9,0.9,1.5
Wade Boggs,3B,74,L,3474,.289,.378,.374,.353,12.6,8.2,4.0,.306,20.6,16.76,-0.3,-3.1,3.6
Roberto Clemente,RF,73,R,2272,.303,.343,.437,.351,5.7,10.7,9.5,.322,27.4,20.69,-0.7,2.8,3.6
Jonny Farmelo,CF,72,L,784,.263,.335,.452,.349,9.7,14.0,22.2,.267,34.1,17.74,-1.5,4.4,2.9
Cliff Floyd,LF,72,L,1180,.252,.336,.446,.349,11.4,12.5,28.5,.238,32.3,4.76,1.0,-0.1,2.8
