Name,VAL,Hand,IP,GSper,IPpergame,RA9,ERA,wOBAA,K9,BB9,HR9,BABIP
Travis Wood,63,L,110.3,1.000,7.88,3.18,2.04,.274,5.47,3.02,0.49,.254
Justin Masterson,60,R,103.3,0.714,4.92,2.70,2.27,.293,4.79,4.01,0.35,.259
Jake Odorizzi,73,R,203.3,0.871,6.56,2.70,2.52,.279,5.89,3.01,0.58,.243
Bob Miller,69,R,114.3,1.000,7.62,3.39,2.91,.302,2.60,2.05,0.31,.279
Joe Nuxhall,71,L,175.7,1.000,7.99,3.53,3.12,.302,4.00,2.46,0.97,.249
Pedro Martinez,51,L,179.3,0.000,1.39,3.92,3.21,.326,5.27,4.37,0.80,.274
Dave McNally,74,L,834.7,0.990,8.35,3.66,3.23,.293,5.46,1.88,1.04,.253
Craig Lefferts,52,L,130,0.000,1.17,3.74,3.25,.338,4.50,4.15,0.35,.316
Tom Glavine,73,L,941.7,1.000,7.85,3.87,3.27,.308,4.81,2.81,0.66,.275
Eddie Plank,66,L,288.3,0.944,8.01,4.03,3.62,.301,3.78,2.34,0.59,.262
Fritz Ostermueller,64,L,2355,0.968,7.52,4.16,3.63,.316,5.64,3.15,0.54,.293
Christy Mathewson,65,R,1656.3,1.000,8.00,4.12,3.64,.320,3.13,1.37,0.99,.277
Brent Strom,73,L,789.7,1.000,7.74,4.21,3.69,.309,5.29,2.67,0.47,.289
Alex Reyes,53,R,346.7,0.000,1.32,4.02,3.71,.322,6.15,5.89,0.60,.265
Steve Trout,68,L,308.3,1.000,7.17,4.29,3.71,.306,4.35,2.86,0.41,.280
Frank Lary,67,R,272.7,1.000,7.78,4.40,3.77,.331,4.10,2.88,0.69,.302
Red Lucas,68,R,270.7,1.000,7.52,4.32,3.79,.318,3.22,2.13,0.66,.284
Dan Haren,72,R,110.7,1.000,7.91,4.31,3.82,.321,4.80,2.52,0.98,.275
Matt Clement,69,R,947.7,0.978,7.02,4.59,3.85,.326,5.77,4.80,0.65,.278
Ray Caldwell,64,L,215.3,0.964,7.69,4.47,3.89,.322,4.85,3.30,0.79,.275
Johnny Antonelli,67,L,175.3,0.815,6.49,4.31,3.90,.333,4.93,3.23,0.92,.285
Mike Marshall,57,R,182.7,0.081,1.85,4.48,3.94,.339,4.53,4.24,0.34,.307
James McDonald,55,R,910,0.384,3.24,4.63,3.96,.329,5.46,4.23,0.43,.297
Grover Cleveland Alexander,66,R,1319.7,0.955,7.50,4.51,3.98,.328,2.60,1.79,1.12,.267
TJ House,50,L,173.3,0.016,1.38,4.83,4.00,.350,4.21,2.39,0.93,.320
