Name,Card,Role,VAL,Hand,CapValue,pwOBAA,pwOBAA_vL,pwOBAA_vR,Kpct,BBpct,HRpct,BABIP
Dave McNally,Limited Edition/74 SP BAL 1968,Starter,74,L,18.5,.296,.286,.301,15.8,5.2,2.6,
Bob Walk,T4 Ep. 10 - Historical All-Star SP PIT 1988,Starter,73,R,15.6,.300,.312,.289,9.9,6.8,0.9,
Chad Bradford,T4 Ep. 5 - Unsung Heroes RP NYM 2006,Reliever,74,R,14.4,.304,.313,.295,13.6,7.2,0.6,.298
Brent Strom,Limited Edition/56 SP SD 1975,Starter,73,L,13.5,.304,.305,.304,13.9,6.9,1.5,.283
Alex Claudio,T4 Ep. 7 - Baseball Reference 7 RP TEX 2017,Reliever,70,L,14.6,.305,.276,.321,9.0,5.4,1.0,.285
Chad Cordero,Limited Edition/47 CL WAS 2005,Reliever,74,R,12.8,.307,.308,.305,14.7,7.2,2.3,.269
Bruce Hurst,PTCS 6 - Veteran Presence 6 SP SD 1990,Starter,64,L,16.1,.308,.322,.300,15.9,6.3,2.4,.279
Dave Stewart,Limited Edition/99 SP ATH 1987,Starter,68,R,11.8,.311,.313,.308,14.9,8.9,1.5,.284
Frank Tanana,Clubhouse - Veteran Presence SP DET 1989,Starter,69,L,11.6,.311,.321,.306,14.8,6.2,1.8,.291
Andy McGaffigan,80s Theme Week - Snapshot SP MON 1986,Starter,73,R,9.9,.311,.307,.315,15.2,8.6,1.7,.282
Fritz Ostermueller,Trade Deadliners - Baseball Reference 6 SP PIT 1944,Starter,64,L,14.0,.312,.317,.310,16.0,8.4,1.4,.294
Brandon Beachy,Limited Edition/81 SP ATL 2012,Starter,67,R,13.6,.312,.309,.315,13.1,10.2,1.6,.268
Bob Miller,Clubhouse - April Fools' Day RP DET 1954,Reliever,69,L,11.0,.312,.293,.323,11.2,8.3,1.0,.286
Eddie Plank,HOF 2 - Veteran Presence SP SLA 1916,Starter,66,L,11.7,.313,.309,.315,11.3,6.5,1.7,.283
Bruce Ruffin,Clubhouse - Baseball Reference 8 RP COL 1993,Reliever,71,L,11.4,.313,.318,.310,16.8,9.6,1.0,.298
Matt Clement,PTMS 2 SP CHC 2002,Starter,69,R,10.5,.313,.320,.307,16.9,10.3,1.8,.279
Shigetoshi Hasegawa,Limited Edition/73 CL SEA 2003,Reliever,65,R,13.1,.314,.317,.311,7.0,6.3,1.4,.279
Larry Sherry,50s Theme Week - Hardware Heroes RP LAD 1959,Reliever,66,R,11.2,.314,.327,.301,16.3,11.3,2.1,.265
Mike Stanton,Clubhouse - April Fools' Day RP ATL 1991,Reliever,74,L,9.2,.314,.297,.325,13.2,8.0,2.0,.277
Tom Glavine,HOF Week - Veteran Presence SP NYM 2006,Starter,73,L,8.3,.314,.297,.324,13.5,7.5,1.8,.284
Christy Mathewson,Studs & Duds - Veteran Presence SP NY1 1914,Starter,65,R,12.6,.315,.332,.298,9.4,3.5,2.2,.284
Bob Miller,Clubhouse - April Fools' Day RP SD 1971,Reliever,69,R,9.5,.315,.324,.306,11.0,9.3,0.8,.287
Chris Sale,Live Collection Reward - Rookie Sensation RP CWS 2010,Reliever,70,L,9.4,.315,.302,.322,18.3,10.2,1.8,.285
Bill Bray,Limited Edition/44 RP CIN 2011,Reliever,64,L,11.9,.316,.316,.316,13.7,10.0,1.5,.278
Rudy May,May Names 1 - Snapshot RP MON 1979,Reliever,74,L,8.1,.316,.300,.325,16.4,8.2,1.6,.297
Kent Mercker,Clubhouse - Baseball Reference 6 RP CLE 1996,Reliever,66,L,9.6,.317,.290,.332,12.6,7.0,2.0,.283
Fergie Jenkins,Laptophound Summer Classic: 17th-32nd SP CHC 1968,Starter,72,R,8.4,.317,.325,.308,17.2,5.9,2.6,.292
Joe Mantiply,Limited Edition/61 RP ARI 2022,Reliever,74,L,7.6,.317,.309,.321,13.0,4.5,1.8,.302
Jake Odorizzi,Limited Edition/53 SP MIN 2019,Starter,73,R,6.8,.317,.336,.298,17.3,7.5,2.1,.296
Bruce Sutter,Studs & Duds - Snapshot CL STL 1982,Reliever,71,R,8.8,.318,.310,.326,14.3,7.5,2.0,.288
Trevor Cahill,Limited Edition/71 SP ATH 2010,Starter,71,R,8.8,.318,.312,.324,10.7,7.7,2.3,.269
