Name,Card,POS,VAL,Hand,CapValue,pwOBA,pwOBA_vL,pwOBA_vR,BBpct,SOpct,HRpct,BABIP,XBHpct
Hanley Ramirez,Clubhouse - Baseball Reference 8 SS Hanley Ramirez LAD 2013,SS,82,R,,.332,.338,.328,6.6,20.1,3.5,.303,28.4
Joe Jackson,Trade Deadliners - Baseball Reference 6 LF Joe Jackson CLE 1915,LF,88,L,,.330,.314,.339,6.9,9.5,2.1,.296,26.2
Chick Hafey,July Jewels - Baseball Reference 4 LF Chick Hafey STL 1928,LF,89,R,,.327,.328,.327,4.5,21.1,3.9,.298,30.9
Curtis Granderson,FLF 21 & Co. - Baseball Reference 7 CF Curtis Granderson NYY 2011,CF,87,L,,.324,.314,.328,9.4,23.7,4.3,.275,24.4
George Brett,HOF 2 - Hall of Fame 3B George Brett KC 1976,3B,87,L,,.324,.328,.322,6.0,10.1,1.5,.302,29.4
Richie Scheinblum,Limited Edition/40 RF Richie Scheinblum KC 1972,RF,87,S,,.321,.304,.330,7.1,13.4,2.4,.294,22.7
Jack Clark,T4 Ep. 10 - Snapshot 1B Jack Clark SD 1989,1B,86,R,,.321,.329,.317,13.6,30.0,4.1,.282,17.0
Rudy York,Baseball Reference 7 1B Rudy York DET 1943,1B,88,R,,.320,.320,.320,9.9,29.5,5.1,.262,28.0
Danny Tartabull,Family Connections - Historical All-Star RF Danny Tartabull KC 1991,RF,87,R,,.320,.323,.318,8.1,33.1,4.3,.308,29.1
Josue De Paula,Young & Old 2 - Future Legend RF Josue De Paula LAD 2026,RF,87,L,,.319,.311,.324,8.2,22.3,4.0,.277,24.8
Matt Carpenter,Clubhouse - Baseball Reference 8 3B Matt Carpenter STL 2015,3B,74,L,,.319,.292,.333,10.3,28.4,3.5,.294,30.1
Bob Fothergill,Baseball Reference 1 LF Bob Fothergill DET 1927,LF,86,R,,.319,.337,.310,5.1,15.7,2.3,.307,26.2
Randy Ready,Limited Edition/54 3B Randy Ready SD 1987,3B,77,R,,.318,.350,.300,9.6,17.8,2.2,.288,29.0
Kendrys Morales,FLF 22 & Co. - Snapshot 1B Kendrys Morales LAA 2009,1B,88,S,,.317,.291,.331,5.5,21.8,3.3,.300,29.1
Kaelen Culpepper,FLF 20 - Future Legend SS Kaelen Culpepper MIN 2026,SS,89,R,,.317,.329,.311,7.7,18.2,3.4,.279,23.2
Carlos Baerga,T4 Ep. 2 - Baseball Reference 3 2B Carlos Baerga CLE 1993,2B,86,S,,.316,.297,.327,4.6,14.7,3.0,.294,21.0
Bip Roberts,T4 Ep. 9 - Baseball Reference 8 LF Bip Roberts CIN 1992,LF,86,S,,.315,.305,.320,8.6,15.1,1.1,.308,25.0
Rich Aurilia,T4 Ep. 5 - Hardware Heroes SS Rich Aurilia SF 2001,SS,87,R,,.315,.320,.312,4.4,18.1,3.8,.282,24.8
Zack Cozart,Clubhouse - Baseball Reference 5 SS Zack Cozart CIN 2017,SS,83,R,,.314,.339,.300,8.0,19.1,3.0,.286,21.3
J.T. Snow,HOF Week - Unsung Heroes 1B J.T. Snow SF 2004,1B,83,L,,.314,.289,.328,9.9,20.6,1.9,.297,29.1
Marco Scutaro,Trade Deadliners - Baseball Reference 6 2B Marco Scutaro SF 2012,2B,69,R,,.314,.310,.316,3.4,7.3,0.9,.306,27.5
Brandon Lowe,Baseball Reference 7 2B Brandon Lowe TB 2020,2B,82,L,,.314,.322,.310,8.6,24.6,4.0,.277,23.4
Roy Thomas,September Stars - Baseball Reference 8 CF Roy Thomas PHI 1903,CF,82,L,,.313,.316,.311,11.6,14.9,0.9,.306,16.5
Marcus Semien,September Stars - Baseball Reference 8 2B Marcus Semien TOR 2021,2B,84,R,,.313,.294,.324,7.3,20.7,4.3,.255,27.4
Frank Schwindel,T4 Ep. 7 - Baseball Reference 7 1B Frank Schwindel CHC 2021,1B,77,R,,.313,.330,.304,5.0,18.1,3.0,.291,27.1
Jeff Kent,T4 Ep. 5 - Snapshot 2B Jeff Kent LAD 2005,2B,85,R,,.313,.310,.315,8.3,18.0,3.1,.278,22.2
Gregg Jefferies,T4 Ep. 2 - Historical All-Star 1B Gregg Jefferies STL 1993,1B,84,S,,.313,.318,.311,6.3,11.8,2.2,.295,15.2
Von Hayes,80s Theme Week - Super Utility RF Von Hayes PHI 1989,RF,86,L,,.313,.294,.324,10.8,22.9,3.8,.264,20.4
Jose Ramirez,Studs & Duds - Snapshot 3B Jose Ramirez CLE 2019,3B,77,S,,.312,.312,.312,7.7,13.0,3.1,.257,26.6
Zyhir Hope,FLF 20 - Future Legend LF Zyhir Hope DET 2026,LF,86,L,,.311,.284,.327,7.8,25.6,3.6,.293,22.8
Angel Genao,FLF 20 - Future Legend 2B Angel Genao CLE 2026,2B,78,S,,.311,.307,.314,7.7,16.1,1.7,.300,24.4
Bill Mueller,HOF Week - Snapshot 3B Bill Mueller SF 1998,3B,80,S,,.311,.315,.309,9.7,16.1,1.1,.304,23.3
Tino Martinez,Baseball Reference 1 1B Tino Martinez NYY 1997,1B,87,L,,.310,.298,.317,7.0,15.6,3.8,.260,18.6
Nick Esasky,Studs & Duds - Unsung Heroes 1B Nick Esasky BOS 1989,1B,81,R,,.310,.305,.313,9.0,28.7,4.3,.276,22.8
Brian Dozier,Memorial Day OnStream Builds - Snapshot 2B Brian Dozier MIN 2016,2B,88,R,,.310,.317,.306,6.6,20.5,4.1,.261,24.9
Ernie Banks,60s Theme Week - Historical All-Star SS Ernie Banks CHC 1961,SS,83,R,,.310,.327,.301,6.7,18.4,3.7,.268,21.1
Rogers Hornsby,PTCS 3 - Veteran Presence 2B Rogers Hornsby CHC 1931,2B,83,R,,.309,.311,.308,8.9,19.6,2.5,.279,29.9
Ben Zobrist,T4 Ep. 1 - Super Utility 2B Ben Zobrist ATH 2015,2B,84,S,,.309,.310,.308,9.5,12.6,1.8,.269,28.2
Jose Vidro,Memorial Day OnStream Builds - Historical All-Star 2B Jose Vidro MON 2002,2B,77,S,,.309,.299,.315,6.4,15.0,2.3,.286,25.9
Ralphy Velazquez,FLF 23 & Co. - Future Legend 1B Ralphy Velazquez CLE 2026,1B,80,L,,.308,.279,.324,8.6,22.1,3.0,.286,21.9
Dickie Thon,Studs & Duds - Historical All-Star SS Dickie Thon HOU 1983,SS,88,R,,.308,.313,.306,7.4,18.8,2.9,.279,24.6
Hank Thompson,50s Theme Week - Super Utility 3B Hank Thompson NY1 1953,3B,87,L,,.308,.273,.328,8.8,19.2,3.5,.263,20.5
Miguel Tejada,All-Star Week - Historical All-Star SS Miguel Tejada ATH 2002,SS,77,R,,.308,.306,.309,4.3,17.2,3.7,.279,18.7
Willie Keeler,T4 Ep. 3 - Snapshot RF Willie Keeler BLN 1894,RF,77,L,,.308,.296,.315,2.9,8.8,1.3,.305,21.9
Dick Groat,Clubhouse - Historical All-Star SS Dick Groat STL 1963,SS,89,R,,.308,.320,.301,6.0,12.0,1.1,.295,30.0
Josh Gibson,HOF 2 - Negro League Star C Josh Gibson PHG 1946,C,84,R,,.308,.316,.304,6.1,26.5,4.4,.271,29.7
Miguel Cabrera,PTCS 6 - Historical All-Star RF Miguel Cabrera FLO 2004,RF,72,R,,.308,.303,.311,8.2,25.8,3.7,.289,18.0
Howard Johnson,SwitchKnucklers - Hardware Heroes 3B Howard Johnson NYM 1989,3B,84,S,,.308,.298,.313,8.1,30.1,3.7,.292,29.6
Jose Oquendo,T4 Ep. 10 - Super Utility 2B Jose Oquendo STL 1988,2B,73,S,,.307,.315,.303,8.0,12.9,1.2,.297,21.3
Mickey Mantle,50s Theme Week - Historical All-Star CF Mickey Mantle NYY 1959,CF,88,S,,.307,.290,.316,9.8,29.1,3.9,.283,20.9
